name,parallel,gpu_util,gen_tps_r1,gen_tps_r2,best_tps
tp8,--tensor-parallel-size 8,BOOT_FAIL,,,
tp4dp2,--data-parallel-size 2 --tensor-parallel-size 4,BOOT_FAIL,,,
