name,model,status,gpu_util,tps_r1,tps_r2,best_tps,token_match,max_logprob_diff,ppl_rel,gate
w4a4,RedHatAI/Llama-3.1-70B-Instruct-NVFP4,OK,99,2225.2,2221.9,2225.2,25.2,0.4325,0.0685,PASS
w4a16,RedHatAI/Llama-3.1-70B-Instruct-NVFP4A16,OK,100,760.9,763.3,763.3,35.0,0.4565,0.0859,PASS
spinquant_rot,daslab-testing/Llama-3.1-70B-Instruct-spinquantR1R2R4-nvfp4a16,BOOT_FAIL,,,,,,,,
w4a4_kvfp8,RedHatAI/Llama-3.1-70B-Instruct-NVFP4,OK,100,2258.7,2258.3,2258.7,9.8,0.2347,0.1448,FAIL
w4a4_spec,RedHatAI/Llama-3.1-70B-Instruct-NVFP4,OK,89,4189.5,4231.9,4231.9,34.8,0.4325,0.1275,FAIL
w4a16_spec,RedHatAI/Llama-3.1-70B-Instruct-NVFP4A16,OK,95,936.8,935.6,936.8,31.6,0.5192,0.1054,FAIL
spinquant_spec,daslab-testing/Llama-3.1-70B-Instruct-spinquantR1R2R4-nvfp4a16,BOOT_FAIL,,,,,,,,
w4a4_tp8,RedHatAI/Llama-3.1-70B-Instruct-NVFP4,OK,99,2424.6,2449.7,2449.7,31.2,0.4468,0.1034,FAIL
fp8_ref,meta-llama/Llama-3.1-70B-Instruct,OK,100,1807.1,1810.1,1810.1,62.5,0.1351,0.0421,PASS
bf16_ref,meta-llama/Llama-3.1-70B-Instruct,OK,100,1437.2,1431.7,1437.2,100.0,0.0000,0.0000,PASS
