name,status,gpu_util_mid,gen_tps_r1,gen_tps_r2,best_tps
fp8_base,OK,100,1812.8,1804.8,1812.8
fuse_norm_quant,OK,100,1765.7,1767.2,1767.2
fuse_act_quant,OK,100,1807.1,1804.6,1807.1
fuse_attn_quant,OK,100,1793.5,1782.5,1793.5
fuse_rope_kvcache,OK,100,1807.8,1812.3,1812.3
qk_norm_rope_fusion,OK,100,1751.7,1741.7,1751.7
fuse_gemm_comms,OK,100,1809.8,1813.1,1813.1
enable_sp,OK,100,1805.9,1809.4,1809.4
all_fuse,OK,100,1754.5,1758.8,1758.8
all_fuse_gemmcomm,OK,100,1762.5,1760.3,1762.5
