timestamp,elapsed_s,gpu0_util_pct,gpu0_mem_util_pct,gpu0_mem_used_mb,gpu0_power_w,gpu0_temp_c,gpu_avg_util_pct,gpu_avg_mem_util_pct,gpu_avg_power_w
2026-04-18 10:29:58.222,1.9,0.0,0.0,21390.0,57.2,40.0,0.0,0.0,57.2
2026-04-18 10:30:00.243,3.921,0.0,0.0,21390.0,47.92,40.0,0.0,0.0,47.92
2026-04-18 10:30:02.273,5.951,0.0,0.0,21390.0,47.82,40.0,0.0,0.0,47.82
2026-04-18 10:30:04.293,7.971,0.0,0.0,21390.0,51.35,40.0,0.0,0.0,51.35
2026-04-18 10:30:06.315,9.993,0.0,0.0,21390.0,49.44,40.0,0.0,0.0,49.44
2026-04-18 10:30:08.337,12.015,0.0,0.0,21390.0,47.82,39.0,0.0,0.0,47.82
2026-04-18 10:30:10.357,14.035,0.0,0.0,21390.0,47.72,39.0,0.0,0.0,47.72
2026-04-18 10:30:12.391,16.069,0.0,0.0,21390.0,56.64,39.0,0.0,0.0,56.64
2026-04-18 10:30:14.424,18.102,0.0,0.0,21390.0,47.85,39.0,0.0,0.0,47.85
2026-04-18 10:30:16.458,20.136,0.0,0.0,21390.0,46.73,38.0,0.0,0.0,46.73
2026-04-18 10:30:18.492,22.17,0.0,0.0,21390.0,50.64,39.0,0.0,0.0,50.64
2026-04-18 10:30:20.527,24.205,0.0,0.0,21390.0,47.76,39.0,0.0,0.0,47.76
2026-04-18 10:30:22.563,26.241,0.0,0.0,21390.0,46.74,38.0,0.0,0.0,46.74
2026-04-18 10:30:24.597,28.275,0.0,0.0,21390.0,46.92,39.0,0.0,0.0,46.92
2026-04-18 10:30:26.631,30.309,0.0,0.0,21390.0,56.11,39.0,0.0,0.0,56.11
2026-04-18 10:30:28.664,32.342,0.0,0.0,21390.0,47.12,39.0,0.0,0.0,47.12
2026-04-18 10:30:30.703,34.381,0.0,0.0,21390.0,46.69,39.0,0.0,0.0,46.69
2026-04-18 10:30:32.737,36.415,0.0,0.0,21390.0,49.6,39.0,0.0,0.0,49.6
2026-04-18 10:30:34.773,38.451,0.0,0.0,21390.0,48.12,39.0,0.0,0.0,48.12
2026-04-18 10:30:36.806,40.484,0.0,0.0,21390.0,46.68,39.0,0.0,0.0,46.68
2026-04-18 10:30:38.840,42.518,0.0,0.0,21390.0,46.79,39.0,0.0,0.0,46.79
2026-04-18 10:30:40.875,44.553,0.0,0.0,21390.0,56.16,40.0,0.0,0.0,56.16
2026-04-18 10:30:42.910,46.588,0.0,0.0,21390.0,46.92,39.0,0.0,0.0,46.92
2026-04-18 10:30:44.947,48.625,0.0,0.0,21390.0,46.83,39.0,0.0,0.0,46.83
2026-04-18 10:30:46.982,50.66,0.0,0.0,21390.0,50.73,40.0,0.0,0.0,50.73
2026-04-18 10:30:49.017,52.695,0.0,0.0,21390.0,48.94,40.0,0.0,0.0,48.94
2026-04-18 10:30:51.055,54.733,0.0,0.0,21390.0,46.95,39.0,0.0,0.0,46.95
2026-04-18 10:30:53.089,56.767,0.0,0.0,21390.0,47.12,39.0,0.0,0.0,47.12
2026-04-18 10:30:55.125,58.803,0.0,0.0,21390.0,55.78,40.0,0.0,0.0,55.78
2026-04-18 10:30:57.163,60.841,0.0,0.0,21390.0,47.23,39.0,0.0,0.0,47.23
2026-04-18 10:30:59.182,62.86,0.0,0.0,21390.0,144.78,43.0,0.0,0.0,144.78
2026-04-18 10:31:01.209,64.887,0.0,0.0,21390.0,145.1,44.0,0.0,0.0,145.1
2026-04-18 10:31:03.237,66.915,0.0,0.0,21390.0,145.25,45.0,0.0,0.0,145.25
2026-04-18 10:31:05.265,68.943,80.0,83.0,21392.0,368.64,54.0,80.0,83.0,368.64
2026-04-18 10:31:07.297,70.976,81.0,84.0,21392.0,376.65,55.0,81.0,84.0,376.65
2026-04-18 10:31:09.326,73.004,80.0,83.0,21392.0,374.65,56.0,80.0,83.0,374.65
2026-04-18 10:31:11.354,75.032,78.0,82.0,21392.0,369.76,55.0,78.0,82.0,369.76
