timestamp,gpu_index,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_temp_c,gpu_power_w
2026-05-25T23:10:53.906198+00:00,0,0,0,6312,81559,47,129.11
2026-05-25T23:10:53.906198+00:00,1,0,0,0,81559,33,71.61
2026-05-25T23:10:53.906198+00:00,2,0,0,0,81559,33,72.23
2026-05-25T23:10:53.906198+00:00,3,0,0,0,81559,47,79.52
2026-05-25T23:10:53.906198+00:00,4,0,0,0,81559,46,85.01
2026-05-25T23:10:53.906198+00:00,5,0,0,0,81559,34,72.26
2026-05-25T23:10:53.906198+00:00,6,0,0,0,81559,33,70.55
2026-05-25T23:10:53.906198+00:00,7,0,0,1283,81559,48,138.56
2026-05-25T23:10:55.077620+00:00,0,0,0,6312,81559,47,128.88
2026-05-25T23:10:55.077620+00:00,1,0,0,0,81559,33,71.53
2026-05-25T23:10:55.077620+00:00,2,0,0,0,81559,33,72.14
2026-05-25T23:10:55.077620+00:00,3,0,0,0,81559,47,79.27
2026-05-25T23:10:55.077620+00:00,4,0,0,0,81559,46,84.74
2026-05-25T23:10:55.077620+00:00,5,0,0,0,81559,34,72.06
2026-05-25T23:10:55.077620+00:00,6,0,0,0,81559,33,70.49
2026-05-25T23:10:55.077620+00:00,7,0,0,1283,81559,47,138.37
2026-05-25T23:10:56.248825+00:00,0,0,0,6312,81559,47,128.71
2026-05-25T23:10:56.248825+00:00,1,0,0,0,81559,33,71.53
2026-05-25T23:10:56.248825+00:00,2,0,0,0,81559,33,72.07
2026-05-25T23:10:56.248825+00:00,3,0,0,0,81559,46,79.07
2026-05-25T23:10:56.248825+00:00,4,0,0,0,81559,45,84.41
2026-05-25T23:10:56.248825+00:00,5,0,0,0,81559,34,72.10
2026-05-25T23:10:56.248825+00:00,6,0,0,0,81559,33,70.44
2026-05-25T23:10:56.248825+00:00,7,0,0,1283,81559,47,138.12
2026-05-25T23:10:57.413238+00:00,0,0,0,6312,81559,46,128.46
2026-05-25T23:10:57.413238+00:00,1,0,0,0,81559,33,71.61
2026-05-25T23:10:57.413238+00:00,2,0,0,0,81559,33,71.99
2026-05-25T23:10:57.413238+00:00,3,0,0,0,81559,46,78.82
2026-05-25T23:10:57.413238+00:00,4,0,0,0,81559,45,84.17
2026-05-25T23:10:57.413238+00:00,5,0,0,0,81559,33,72.01
2026-05-25T23:10:57.413238+00:00,6,0,0,0,81559,32,70.41
2026-05-25T23:10:57.413238+00:00,7,0,0,1283,81559,47,137.86
2026-05-25T23:10:58.598445+00:00,0,0,0,6312,81559,46,128.29
2026-05-25T23:10:58.598445+00:00,1,0,0,0,81559,32,71.53
2026-05-25T23:10:58.598445+00:00,2,0,0,0,81559,32,71.94
2026-05-25T23:10:58.598445+00:00,3,0,0,0,81559,45,78.65
2026-05-25T23:10:58.598445+00:00,4,0,0,0,81559,44,83.89
2026-05-25T23:10:58.598445+00:00,5,0,0,0,81559,33,71.94
2026-05-25T23:10:58.598445+00:00,6,0,0,0,81559,32,70.42
2026-05-25T23:10:58.598445+00:00,7,0,0,1283,81559,46,137.68
2026-05-25T23:10:59.771156+00:00,0,0,0,6312,81559,46,128.08
2026-05-25T23:10:59.771156+00:00,1,0,0,0,81559,32,71.48
2026-05-25T23:10:59.771156+00:00,2,0,0,0,81559,32,71.85
2026-05-25T23:10:59.771156+00:00,3,0,0,0,81559,45,78.46
2026-05-25T23:10:59.771156+00:00,4,0,0,0,81559,44,83.63
2026-05-25T23:10:59.771156+00:00,5,0,0,0,81559,33,71.87
2026-05-25T23:10:59.771156+00:00,6,0,0,0,81559,32,70.36
2026-05-25T23:10:59.771156+00:00,7,0,0,1283,81559,46,137.50
2026-05-25T23:11:00.949883+00:00,0,0,0,6312,81559,45,127.28
2026-05-25T23:11:00.949883+00:00,1,0,0,0,81559,32,71.42
2026-05-25T23:11:00.949883+00:00,2,0,0,0,81559,32,71.81
2026-05-25T23:11:00.949883+00:00,3,0,0,0,81559,45,78.29
2026-05-25T23:11:00.949883+00:00,4,0,0,0,81559,44,83.41
2026-05-25T23:11:00.949883+00:00,5,0,0,0,81559,33,71.84
2026-05-25T23:11:00.949883+00:00,6,0,0,0,81559,32,70.31
2026-05-25T23:11:00.949883+00:00,7,0,0,1283,81559,46,137.34
2026-05-25T23:11:02.108852+00:00,0,0,0,6312,81559,45,127.11
2026-05-25T23:11:02.108852+00:00,1,0,0,0,81559,32,71.36
2026-05-25T23:11:02.108852+00:00,2,0,0,0,81559,32,71.80
2026-05-25T23:11:02.108852+00:00,3,0,0,0,81559,44,78.09
2026-05-25T23:11:02.108852+00:00,4,0,0,0,81559,43,83.14
2026-05-25T23:11:02.108852+00:00,5,0,0,0,81559,33,71.79
2026-05-25T23:11:02.108852+00:00,6,0,0,0,81559,31,70.24
2026-05-25T23:11:02.108852+00:00,7,0,0,1283,81559,45,137.11
2026-05-25T23:11:03.270568+00:00,0,0,0,6312,81559,45,126.92
2026-05-25T23:11:03.270568+00:00,1,0,0,4,81559,32,72.57
2026-05-25T23:11:03.270568+00:00,2,0,0,4,81559,31,71.97
2026-05-25T23:11:03.270568+00:00,3,0,0,1,81559,44,77.94
2026-05-25T23:11:03.270568+00:00,4,0,0,1,81559,43,82.90
2026-05-25T23:11:03.270568+00:00,5,0,0,1,81559,32,71.73
2026-05-25T23:11:03.270568+00:00,6,0,0,1,81559,31,70.16
2026-05-25T23:11:03.270568+00:00,7,0,0,1283,81559,45,136.91
2026-05-25T23:11:04.830881+00:00,0,0,0,6312,81559,45,126.72
2026-05-25T23:11:04.830881+00:00,1,0,0,4,81559,31,74.19
2026-05-25T23:11:04.830881+00:00,2,0,0,4,81559,31,71.91
2026-05-25T23:11:04.830881+00:00,3,0,0,4,81559,43,77.74
2026-05-25T23:11:04.830881+00:00,4,0,0,4,81559,43,86.42
2026-05-25T23:11:04.830881+00:00,5,0,0,4,81559,32,71.69
2026-05-25T23:11:04.830881+00:00,6,0,0,4,81559,31,70.15
2026-05-25T23:11:04.830881+00:00,7,0,0,1283,81559,45,136.70
2026-05-25T23:11:06.036711+00:00,0,0,0,6312,81559,44,126.53
2026-05-25T23:11:06.036711+00:00,1,0,0,4,81559,31,71.20
2026-05-25T23:11:06.036711+00:00,2,0,0,4,81559,31,71.83
2026-05-25T23:11:06.036711+00:00,3,0,0,4,81559,43,77.57
2026-05-25T23:11:06.036711+00:00,4,0,0,4,81559,42,85.26
2026-05-25T23:11:06.036711+00:00,5,0,0,4,81559,32,71.63
2026-05-25T23:11:06.036711+00:00,6,0,0,4,81559,31,70.13
2026-05-25T23:11:06.036711+00:00,7,0,0,1283,81559,44,136.55
2026-05-25T23:11:07.225806+00:00,0,0,0,6312,81559,44,126.40
2026-05-25T23:11:07.225806+00:00,1,0,0,4,81559,31,71.13
2026-05-25T23:11:07.225806+00:00,2,0,0,4,81559,31,71.80
2026-05-25T23:11:07.225806+00:00,3,0,0,4,81559,43,77.39
2026-05-25T23:11:07.225806+00:00,4,0,0,4,81559,42,82.20
