worker=12 cpu=92 K=5120 N=27648 B=128 dtype=bf16
  t=5.0s iters=48 tflops=0.34
  t=10.1s iters=96 tflops=0.35
  t=15.1s iters=144 tflops=0.35
  t=20.2s iters=192 tflops=0.35
  t=25.2s iters=240 tflops=0.35
  t=30.2s iters=288 tflops=0.35
  t=35.2s iters=336 tflops=0.35
  t=40.3s iters=385 tflops=0.35
  t=45.4s iters=433 tflops=0.35
  t=50.4s iters=481 tflops=0.35
