ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
100.0,harvest,mon_L3_00,259.6,15.80,0.10
100.0,harvest,mon_L3_01,273.4,15.89,15.89
102.0,harvest,mon_L3_00,258.9,15.80,0.10
102.0,harvest,mon_L3_01,265.8,15.91,15.91
104.0,harvest,mon_L3_00,260.7,15.81,0.10
104.0,harvest,mon_L3_01,270.7,15.94,15.94
106.0,harvest,mon_L3_00,261.1,15.73,0.10
106.0,harvest,mon_L3_01,267.2,15.91,15.91
108.0,harvest,mon_L3_00,260.5,15.78,0.10
108.0,harvest,mon_L3_01,274.6,15.92,15.92
110.0,harvest,mon_L3_00,252.9,15.77,0.10
110.0,harvest,mon_L3_01,277.3,15.93,15.92
112.0,harvest,mon_L3_00,254.3,15.80,0.10
112.0,harvest,mon_L3_01,273.4,15.90,15.90
114.0,harvest,mon_L3_00,265.9,15.80,0.10
114.0,harvest,mon_L3_01,270.9,15.96,15.95
116.0,harvest,mon_L3_00,267.9,15.72,0.10
116.0,harvest,mon_L3_01,269.1,15.94,15.94
118.0,harvest,mon_L3_00,273.8,15.76,0.10
118.0,harvest,mon_L3_01,270.8,15.93,15.93
120.0,harvest,mon_L3_00,273.9,15.81,0.10
120.0,harvest,mon_L3_01,271.3,15.92,15.92
122.0,harvest,mon_L3_00,260.2,15.74,0.10
122.0,harvest,mon_L3_01,269.4,15.85,15.85
124.0,harvest,mon_L3_00,259.8,15.79,0.10
124.0,harvest,mon_L3_01,269.2,15.93,15.93
126.0,harvest,mon_L3_00,263.6,15.77,0.10
126.0,harvest,mon_L3_01,268.4,15.93,15.93
128.0,harvest,mon_L3_00,270.0,15.79,0.10
128.0,harvest,mon_L3_01,269.1,15.96,15.95
130.0,harvest,mon_L3_00,271.6,15.77,0.10
130.0,harvest,mon_L3_01,267.5,15.94,15.93
132.0,harvest,mon_L3_00,270.7,15.74,0.10
132.0,harvest,mon_L3_01,267.8,15.97,15.97
134.0,harvest,mon_L3_00,265.0,15.75,0.10
134.0,harvest,mon_L3_01,268.2,15.93,15.93
136.0,harvest,mon_L3_00,273.6,15.72,0.10
136.0,harvest,mon_L3_01,270.6,15.98,15.98
138.0,harvest,mon_L3_00,251.2,15.74,0.10
138.0,harvest,mon_L3_01,268.0,15.95,15.95
140.0,harvest,mon_L3_00,264.0,15.78,0.10
140.0,harvest,mon_L3_01,268.0,15.95,15.95
142.0,harvest,mon_L3_00,263.0,15.73,0.10
142.0,harvest,mon_L3_01,272.0,15.95,15.95
144.0,harvest,mon_L3_00,264.7,15.75,0.10
144.0,harvest,mon_L3_01,259.5,15.98,15.98
146.0,harvest,mon_L3_00,278.3,15.73,0.10
146.0,harvest,mon_L3_01,271.2,15.95,15.95
148.0,harvest,mon_L3_00,271.9,15.76,0.10
148.0,harvest,mon_L3_01,270.4,15.96,15.95
150.0,harvest,mon_L3_00,263.9,15.73,0.10
150.0,harvest,mon_L3_01,263.0,16.01,16.01
152.0,harvest,mon_L3_00,278.0,15.73,0.10
152.0,harvest,mon_L3_01,268.6,15.99,15.99
154.0,harvest,mon_L3_00,261.2,15.76,0.10
154.0,harvest,mon_L3_01,268.7,15.99,15.99
156.0,harvest,mon_L3_00,269.8,15.80,0.10
156.0,harvest,mon_L3_01,270.9,15.98,15.98
158.0,harvest,mon_L3_00,264.0,15.77,0.10
158.0,harvest,mon_L3_01,266.6,15.96,15.96
160.0,harvest,mon_L3_00,271.8,15.78,0.10
160.0,harvest,mon_L3_01,265.0,15.98,15.98
162.0,harvest,mon_L3_00,264.4,15.76,0.10
162.0,harvest,mon_L3_01,269.3,15.99,15.99
164.0,harvest,mon_L3_00,275.5,15.73,0.10
164.0,harvest,mon_L3_01,269.9,15.98,15.98
166.0,harvest,mon_L3_00,276.1,15.73,0.10
166.0,harvest,mon_L3_01,272.6,15.97,15.97
168.0,harvest,mon_L3_00,266.6,15.75,0.10
168.0,harvest,mon_L3_01,270.0,15.99,15.99
170.0,harvest,mon_L3_00,266.1,15.78,0.10
170.0,harvest,mon_L3_01,271.3,15.95,15.95
172.0,harvest,mon_L3_00,266.0,15.80,0.10
