core80,core81,core82,core83,core84,core85,core86,core87,sys_cpu_pct,t_s,w_3382437,w_3382437_cpu,w_3382438,w_3382438_cpu,w_3382439,w_3382439_cpu,w_3382440,w_3382440_cpu,w_3382441,w_3382441_cpu,w_3382442,w_3382442_cpu,w_3382443,w_3382443_cpu,w_3382444,w_3382444_cpu
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.9,0.5,51.4,80,49.4,81,49.4,82,49.4,83,49.4,84,49.4,85,47.5,86,49.4,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.6,1.005,49.7,80,51.7,81,51.7,82,49.7,83,49.7,84,49.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.9,1.508,47.7,80,47.7,81,47.7,82,49.7,83,49.7,84,49.7,85,47.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.9,2.011,51.7,80,51.7,81,49.7,82,49.7,83,51.7,84,49.7,85,51.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.9,2.514,49.7,80,49.7,81,51.7,82,49.7,83,49.7,84,47.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.5,3.017,47.7,80,49.7,81,49.7,82,49.7,83,49.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.8,3.52,51.7,80,49.7,81,49.7,82,51.7,83,47.7,84,49.7,85,47.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1,4.023,49.7,80,49.7,81,49.7,82,49.7,83,51.7,84,47.7,85,51.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.1,4.526,47.7,80,49.7,81,47.7,82,47.7,83,47.7,84,51.7,85,47.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.8,5.029,51.7,80,49.7,81,49.7,82,49.7,83,51.7,84,47.7,85,51.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.2,5.532,47.7,80,49.7,81,51.7,82,49.7,83,49.7,84,51.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.2,6.035,51.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.7,6.538,49.7,80,51.7,81,47.7,82,47.7,83,47.7,84,49.7,85,51.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.9,7.041,49.7,80,47.7,81,49.7,82,51.7,83,51.7,84,49.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.6,7.544,49.7,80,49.7,81,51.7,82,49.7,83,49.7,84,49.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.2,8.047,49.7,80,47.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.0,8.55,49.7,80,51.7,81,47.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.4,9.053,51.7,80,49.7,81,51.7,82,51.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.4,9.556,47.7,80,47.7,81,47.7,82,47.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.8,10.058,49.7,80,51.7,81,51.7,82,49.7,83,49.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.3,10.561,51.7,80,47.7,81,47.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.3,11.064,47.7,80,51.7,81,51.7,82,49.7,83,49.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.4,11.567,49.7,80,49.7,81,49.7,82,49.7,83,49.7,84,47.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,12.07,49.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.6,12.573,51.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.3,13.076,49.7,80,49.7,81,49.7,82,49.7,83,47.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.2,13.579,47.7,80,47.7,81,49.7,82,49.7,83,51.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1,14.082,49.7,80,53.7,81,49.7,82,51.7,83,49.7,84,47.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.0,14.585,49.7,80,47.7,81,49.7,82,49.7,83,49.7,84,49.7,85,51.7,86,49.7,87
