timestamp,gpu_index,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_temp_c,gpu_power_w
2026-05-27T02:39:40.086836+00:00,0,0,0,6312,81559,44,125.28
2026-05-27T02:39:40.086836+00:00,1,0,0,0,81559,32,71.29
2026-05-27T02:39:40.086836+00:00,2,0,0,0,81559,32,71.76
2026-05-27T02:39:40.086836+00:00,3,0,0,0,81559,42,76.97
2026-05-27T02:39:40.086836+00:00,4,0,0,0,81559,41,81.72
2026-05-27T02:39:40.086836+00:00,5,0,0,0,81559,33,71.62
2026-05-27T02:39:40.086836+00:00,6,0,0,0,81559,32,70.22
2026-05-27T02:39:40.086836+00:00,7,0,0,3665,81559,44,135.66
2026-05-27T02:39:40.775220+00:00,0,0,0,6312,81559,44,125.24
2026-05-27T02:39:40.775220+00:00,1,0,0,0,81559,32,71.28
2026-05-27T02:39:40.775220+00:00,2,0,0,0,81559,32,71.67
2026-05-27T02:39:40.775220+00:00,3,0,0,0,81559,42,76.96
2026-05-27T02:39:40.775220+00:00,4,0,0,0,81559,41,81.70
2026-05-27T02:39:40.775220+00:00,5,0,0,0,81559,33,71.62
2026-05-27T02:39:40.775220+00:00,6,0,0,0,81559,31,70.15
2026-05-27T02:39:40.775220+00:00,7,0,0,3665,81559,44,135.64
2026-05-27T02:39:41.447934+00:00,0,0,0,6312,81559,44,125.19
2026-05-27T02:39:41.447934+00:00,1,0,0,0,81559,32,71.24
2026-05-27T02:39:41.447934+00:00,2,0,0,0,81559,32,71.72
2026-05-27T02:39:41.447934+00:00,3,0,0,0,81559,42,76.93
2026-05-27T02:39:41.447934+00:00,4,0,0,0,81559,41,81.65
2026-05-27T02:39:41.447934+00:00,5,0,0,0,81559,33,71.59
2026-05-27T02:39:41.447934+00:00,6,0,0,0,81559,31,70.16
2026-05-27T02:39:41.447934+00:00,7,0,0,3665,81559,44,135.60
2026-05-27T02:39:42.120132+00:00,0,0,0,6312,81559,44,125.18
2026-05-27T02:39:42.120132+00:00,1,0,0,0,81559,32,71.21
2026-05-27T02:39:42.120132+00:00,2,0,0,0,81559,32,71.74
2026-05-27T02:39:42.120132+00:00,3,0,0,0,81559,42,76.90
2026-05-27T02:39:42.120132+00:00,4,0,0,0,81559,41,81.59
2026-05-27T02:39:42.120132+00:00,5,0,0,0,81559,33,71.58
2026-05-27T02:39:42.120132+00:00,6,0,0,0,81559,31,70.16
2026-05-27T02:39:42.120132+00:00,7,0,0,3665,81559,44,135.53
2026-05-27T02:39:42.791345+00:00,0,0,0,6312,81559,43,125.15
2026-05-27T02:39:42.791345+00:00,1,0,0,0,81559,32,71.20
2026-05-27T02:39:42.791345+00:00,2,0,0,0,81559,32,71.71
2026-05-27T02:39:42.791345+00:00,3,0,0,0,81559,42,76.87
2026-05-27T02:39:42.791345+00:00,4,0,0,0,81559,41,81.54
2026-05-27T02:39:42.791345+00:00,5,0,0,0,81559,32,71.58
2026-05-27T02:39:42.791345+00:00,6,0,0,0,81559,31,70.17
2026-05-27T02:39:42.791345+00:00,7,0,0,3665,81559,44,135.52
2026-05-27T02:39:43.489185+00:00,0,0,0,6312,81559,43,125.19
2026-05-27T02:39:43.489185+00:00,1,0,0,0,81559,32,71.20
2026-05-27T02:39:43.489185+00:00,2,0,0,0,81559,32,71.79
2026-05-27T02:39:43.489185+00:00,3,0,0,0,81559,42,76.79
2026-05-27T02:39:43.489185+00:00,4,0,0,0,81559,41,81.52
2026-05-27T02:39:43.489185+00:00,5,0,0,0,81559,32,71.55
2026-05-27T02:39:43.489185+00:00,6,0,0,0,81559,31,70.16
2026-05-27T02:39:43.489185+00:00,7,0,0,3665,81559,44,135.54
2026-05-27T02:39:44.148240+00:00,0,0,0,6312,81559,43,125.12
2026-05-27T02:39:44.148240+00:00,1,0,0,0,81559,32,71.18
2026-05-27T02:39:44.148240+00:00,2,0,0,0,81559,31,71.67
2026-05-27T02:39:44.148240+00:00,3,0,0,0,81559,42,76.73
2026-05-27T02:39:44.148240+00:00,4,0,0,0,81559,41,81.48
2026-05-27T02:39:44.148240+00:00,5,0,0,0,81559,32,71.57
2026-05-27T02:39:44.148240+00:00,6,0,0,0,81559,31,70.13
2026-05-27T02:39:44.148240+00:00,7,0,0,3665,81559,44,135.52
2026-05-27T02:39:44.813554+00:00,0,0,0,6312,81559,43,125.08
2026-05-27T02:39:44.813554+00:00,1,0,0,0,81559,32,71.15
2026-05-27T02:39:44.813554+00:00,2,0,0,0,81559,31,71.65
2026-05-27T02:39:44.813554+00:00,3,0,0,0,81559,42,76.73
2026-05-27T02:39:44.813554+00:00,4,0,0,0,81559,41,81.41
2026-05-27T02:39:44.813554+00:00,5,0,0,0,81559,32,71.53
2026-05-27T02:39:44.813554+00:00,6,0,0,0,81559,31,70.10
2026-05-27T02:39:44.813554+00:00,7,0,0,3665,81559,44,135.43
2026-05-27T02:39:45.472327+00:00,0,0,0,6312,81559,43,125.03
2026-05-27T02:39:45.472327+00:00,1,0,0,0,81559,31,71.13
2026-05-27T02:39:45.472327+00:00,2,0,0,0,81559,31,71.65
2026-05-27T02:39:45.472327+00:00,3,0,0,0,81559,41,76.68
2026-05-27T02:39:45.472327+00:00,4,0,0,0,81559,41,81.36
2026-05-27T02:39:45.472327+00:00,5,0,0,0,81559,32,71.52
2026-05-27T02:39:45.472327+00:00,6,0,0,0,81559,31,70.11
2026-05-27T02:39:45.472327+00:00,7,0,0,3665,81559,44,135.42
2026-05-27T02:39:46.133380+00:00,0,0,0,6312,81559,43,125.00
2026-05-27T02:39:46.133380+00:00,1,0,0,0,81559,31,71.12
2026-05-27T02:39:46.133380+00:00,2,0,0,0,81559,31,71.69
