campaign_id,population,block,variant_id,boot_id,session_id,order_index,binary_sha256,a1,a2,hotmap,budget,client,workload_id,mode,sent,completed,failed,input_tokens,output_tokens,duration_s,output_tps,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_p95_ms,e2el_p95_ms,execution_valid,invalid_reason,t_start,raw_metrics_path
IDE_076_20260917,post_fix,p3,A12,A12_MAIN3_C1_LONG_100442,C1_OFF,0,a4add14d4708940d,1,1,/models/kt/ide070/hotmap_v2.json,/models/kt/ide070/layer_budget_5952.json,vllm,M073_QWEN_LOW_CONCURRENCY,OFF,16,16,0,8234,2048,32.48003648791928,63.05411635734274,250.51393755711615,280.78025177819654,300.25672878837213,13.91605342148004,14.125489218684837,14.574671626791329,14.219287637388334,2080.5698373005725,True,,2026-09-18T10:10:32.213064+09:00,eval/results/IDE_076_20260917/qwen/OPT4/A12_MAIN3_C1_LONG_100442/C1_OFF
IDE_076_20260917,post_fix,p3,A12,A12_MAIN3_C1_LONG_100442,LONG_OFF,1,a4add14d4708940d,1,1,/models/kt/ide070/hotmap_v2.json,/models/kt/ide070/layer_budget_5952.json,vllm,M073_QWEN_LONGER_PREFILL,OFF,32,32,0,131147,4096,24.38918946601916,167.94326050510423,2317.832107481081,3099.3421336635947,3102.7479922038037,29.762520834319588,41.56510430474318,41.67185989487183,25.175897008739412,6116.160041192779,True,,2026-09-18T10:11:24.154780+09:00,eval/results/IDE_076_20260917/qwen/OPT4/A12_MAIN3_C1_LONG_100442/LONG_OFF
IDE_076_20260917,post_fix,p3,A12,A12_MAIN3_C1_LONG_100442,M1_MAIN_OFF,2,a4add14d4708940d,1,1,/models/kt/ide070/hotmap_v2.json,/models/kt/ide070/layer_budget_5952.json,vllm,M073_QWEN_MAIN_SHORT,OFF,256,256,0,131786,32768,42.421641489025205,772.4359277440343,2215.5485585099086,3190.849695703946,10321.738283173172,60.0872252559964,69.37682715347258,73.40791180673033,65.18995967926458,10296.437744429568,True,,2026-09-18T10:07:27.028026+09:00,eval/results/IDE_076_20260917/qwen/OPT4/A12_MAIN3_C1_LONG_100442/M1_MAIN_OFF
IDE_076_20260917,post_fix,p3,A12,A12_MAIN3_C1_LONG_100442,M2_MAIN_OFF,3,a4add14d4708940d,1,1,/models/kt/ide070/hotmap_v2.json,/models/kt/ide070/layer_budget_5952.json,vllm,M073_QWEN_MAIN_SHORT,OFF,256,256,0,131786,32768,41.42546847392805,791.0109699935729,2116.48793250788,2979.4356502534356,10175.598719000114,59.562503413377904,70.68014125441435,70.97021851222962,62.977943767327794,9767.413656256394,True,,2026-09-18T10:08:29.728547+09:00,eval/results/IDE_076_20260917/qwen/OPT4/A12_MAIN3_C1_LONG_100442/M2_MAIN_OFF
IDE_076_20260917,post_fix,p3,A12,A12_MAIN3_C1_LONG_100442,M3_MAIN_OFF,4,a4add14d4708940d,1,1,/models/kt/ide070/hotmap_v2.json,/models/kt/ide070/layer_budget_5952.json,vllm,M073_QWEN_MAIN_SHORT,OFF,256,256,0,131786,32768,41.28656232904177,793.6722786181292,2126.812729460653,3001.2406581954565,10043.03990096086,58.93862550009379,69.57036132056186,71.71293877461177,64.28136760368942,9905.112576525426,True,,2026-09-18T10:09:31.048798+09:00,eval/results/IDE_076_20260917/qwen/OPT4/A12_MAIN3_C1_LONG_100442/M3_MAIN_OFF
IDE_076_20260917,post_fix,p4,A12,A12_MAIN3_C1_LONG_103813,C1_OFF,0,a4add14d4708940d,1,1,/models/kt/ide070/hotmap_v2.json,/models/kt/ide070/layer_budget_5952.json,vllm,M073_QWEN_LOW_CONCURRENCY,OFF,16,16,0,8234,2048,32.364616692997515,63.278982087963676,238.48245647968724,329.7531279968098,329.8796391347423,13.914235472481142,13.976529461293167,13.998839757212723,14.276585826883093,2096.8128299864475,True,,2026-09-18T10:44:00.095378+09:00,eval/results/IDE_076_20260917/qwen/OPT4/A12_MAIN3_C1_LONG_103813/C1_OFF
IDE_076_20260917,post_fix,p4,A12,A12_MAIN3_C1_LONG_103813,LONG_OFF,1,a4add14d4708940d,1,1,/models/kt/ide070/hotmap_v2.json,/models/kt/ide070/layer_budget_5952.json,vllm,M073_QWEN_LONGER_PREFILL,OFF,32,32,0,131147,4096,24.480044955969788,167.31995416540832,2310.840303543955,3118.6742191086523,3141.970546164084,29.819701354140342,41.55101606358341,41.88037912845318,25.27652441058308,6158.757039293414,True,,2026-09-18T10:44:52.236358+09:00,eval/results/IDE_076_20260917/qwen/OPT4/A12_MAIN3_C1_LONG_103813/LONG_OFF
IDE_076_20260917,post_fix,p4,A12,A12_MAIN3_C1_LONG_103813,M1_MAIN_OFF,2,a4add14d4708940d,1,1,/models/kt/ide070/hotmap_v2.json,/models/kt/ide070/layer_budget_5952.json,vllm,M073_QWEN_MAIN_SHORT,OFF,256,256,0,131786,32768,42.399183780071326,772.8450663100213,2225.773467507679,3249.545498547377,10456.620756024491,60.613585535645875,67.98597387547832,71.47301376263765,64.45864510023966,10175.727428024402,True,,2026-09-18T10:40:53.745335+09:00,eval/results/IDE_076_20260917/qwen/OPT4/A12_MAIN3_C1_LONG_103813/M1_MAIN_OFF
IDE_076_20260917,post_fix,p4,A12,A12_MAIN3_C1_LONG_103813,M2_MAIN_OFF,3,a4add14d4708940d,1,1,/models/kt/ide070/hotmap_v2.json,/models/kt/ide070/layer_budget_5952.json,vllm,M073_QWEN_MAIN_SHORT,OFF,256,256,0,131786,32768,41.95434777904302,781.0394329707166,2234.514368523378,3023.1052034941968,10267.877268203296,58.67305448861778,69.40291644698266,73.24220372605005,65.0378537888173,10075.34957973985,True,,2026-09-18T10:41:56.532105+09:00,eval/results/IDE_076_20260917/qwen/OPT4/A12_MAIN3_C1_LONG_103813/M2_MAIN_OFF
IDE_076_20260917,post_fix,p4,A12,A12_MAIN3_C1_LONG_103813,M3_MAIN_OFF,4,a4add14d4708940d,1,1,/models/kt/ide070/hotmap_v2.json,/models/kt/ide070/layer_budget_5952.json,vllm,M073_QWEN_MAIN_SHORT,OFF,256,256,0,131786,32768,41.40330069698393,791.4344858594093,2146.942561492324,3076.3569721893873,10211.880277475571,59.13168154739386,69.58470608297493,71.11584543219335,63.708396325819194,9812.023197504459,True,,2026-09-18T10:42:58.490918+09:00,eval/results/IDE_076_20260917/qwen/OPT4/A12_MAIN3_C1_LONG_103813/M3_MAIN_OFF
