timestamp,gpu_index,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_temp_c,gpu_power_w
2026-05-25T09:38:21.604871+00:00,0,0,0,6312,81559,36,121.11
2026-05-25T09:38:21.604871+00:00,1,0,0,0,81559,27,69.86
2026-05-25T09:38:21.604871+00:00,2,0,0,0,81559,27,70.95
2026-05-25T09:38:21.604871+00:00,3,0,0,0,81559,32,73.46
2026-05-25T09:38:21.604871+00:00,4,0,0,0,81559,31,76.94
2026-05-25T09:38:21.604871+00:00,5,0,0,0,81559,28,70.52
2026-05-25T09:38:21.604871+00:00,6,0,0,0,81559,27,69.27
2026-05-25T09:38:21.604871+00:00,7,0,0,1283,81559,36,131.31
2026-05-25T09:38:22.776016+00:00,0,0,0,6312,81559,36,121.19
2026-05-25T09:38:22.776016+00:00,1,0,0,0,81559,27,69.81
2026-05-25T09:38:22.776016+00:00,2,0,0,0,81559,27,70.93
2026-05-25T09:38:22.776016+00:00,3,0,0,0,81559,32,73.42
2026-05-25T09:38:22.776016+00:00,4,0,0,0,81559,31,76.95
2026-05-25T09:38:22.776016+00:00,5,0,0,0,81559,28,70.49
2026-05-25T09:38:22.776016+00:00,6,0,0,0,81559,27,69.29
2026-05-25T09:38:22.776016+00:00,7,0,0,1283,81559,36,131.28
2026-05-25T09:38:23.948011+00:00,0,0,0,6312,81559,36,121.19
2026-05-25T09:38:23.948011+00:00,1,0,0,0,81559,27,69.83
2026-05-25T09:38:23.948011+00:00,2,0,0,0,81559,27,70.89
2026-05-25T09:38:23.948011+00:00,3,0,0,0,81559,32,73.44
2026-05-25T09:38:23.948011+00:00,4,0,0,0,81559,31,76.95
2026-05-25T09:38:23.948011+00:00,5,0,0,0,81559,28,70.51
2026-05-25T09:38:23.948011+00:00,6,0,0,0,81559,27,69.27
2026-05-25T09:38:23.948011+00:00,7,0,0,1283,81559,36,131.30
2026-05-25T09:38:25.112199+00:00,0,0,0,6312,81559,36,121.18
2026-05-25T09:38:25.112199+00:00,1,0,0,0,81559,27,69.84
2026-05-25T09:38:25.112199+00:00,2,0,0,0,81559,27,70.85
2026-05-25T09:38:25.112199+00:00,3,0,0,0,81559,32,73.44
2026-05-25T09:38:25.112199+00:00,4,0,0,0,81559,31,76.97
2026-05-25T09:38:25.112199+00:00,5,0,0,0,81559,28,70.51
2026-05-25T09:38:25.112199+00:00,6,0,0,0,81559,27,69.31
2026-05-25T09:38:25.112199+00:00,7,0,0,1283,81559,36,131.31
2026-05-25T09:38:26.298643+00:00,0,0,0,6312,81559,36,121.13
2026-05-25T09:38:26.298643+00:00,1,0,0,0,81559,27,69.83
2026-05-25T09:38:26.298643+00:00,2,0,0,0,81559,27,70.90
2026-05-25T09:38:26.298643+00:00,3,0,0,0,81559,32,73.44
2026-05-25T09:38:26.298643+00:00,4,0,0,0,81559,31,76.94
2026-05-25T09:38:26.298643+00:00,5,0,0,0,81559,28,70.52
2026-05-25T09:38:26.298643+00:00,6,0,0,0,81559,27,69.25
2026-05-25T09:38:26.298643+00:00,7,0,0,1283,81559,36,131.30
2026-05-25T09:38:27.483491+00:00,0,0,0,6312,81559,36,121.13
2026-05-25T09:38:27.483491+00:00,1,0,0,0,81559,27,69.82
2026-05-25T09:38:27.483491+00:00,2,0,0,0,81559,27,70.90
2026-05-25T09:38:27.483491+00:00,3,0,0,0,81559,32,73.46
2026-05-25T09:38:27.483491+00:00,4,0,0,0,81559,31,76.94
2026-05-25T09:38:27.483491+00:00,5,0,0,0,81559,28,70.50
2026-05-25T09:38:27.483491+00:00,6,0,0,0,81559,27,69.26
2026-05-25T09:38:27.483491+00:00,7,0,0,1283,81559,36,131.32
2026-05-25T09:38:28.670388+00:00,0,0,0,6312,81559,36,121.16
2026-05-25T09:38:28.670388+00:00,1,0,0,0,81559,27,69.82
2026-05-25T09:38:28.670388+00:00,2,0,0,0,81559,27,70.90
2026-05-25T09:38:28.670388+00:00,3,0,0,0,81559,32,73.48
2026-05-25T09:38:28.670388+00:00,4,0,0,0,81559,31,76.94
2026-05-25T09:38:28.670388+00:00,5,0,0,0,81559,28,70.52
2026-05-25T09:38:28.670388+00:00,6,0,0,0,81559,27,69.25
2026-05-25T09:38:28.670388+00:00,7,0,0,1283,81559,36,131.28
2026-05-25T09:38:29.830328+00:00,0,0,0,6312,81559,36,121.10
2026-05-25T09:38:29.830328+00:00,1,0,0,0,81559,27,69.83
2026-05-25T09:38:29.830328+00:00,2,0,0,0,81559,27,70.91
2026-05-25T09:38:29.830328+00:00,3,0,0,0,81559,32,73.46
2026-05-25T09:38:29.830328+00:00,4,0,0,0,81559,31,76.93
2026-05-25T09:38:29.830328+00:00,5,0,0,0,81559,28,70.51
2026-05-25T09:38:29.830328+00:00,6,0,0,0,81559,27,69.24
2026-05-25T09:38:29.830328+00:00,7,0,0,1283,81559,36,131.29
2026-05-25T09:38:31.001505+00:00,0,0,0,6312,81559,36,121.16
2026-05-25T09:38:31.001505+00:00,1,0,0,0,81559,27,69.83
2026-05-25T09:38:31.001505+00:00,2,0,0,0,81559,27,70.84
2026-05-25T09:38:31.001505+00:00,3,0,0,0,81559,32,73.45
2026-05-25T09:38:31.001505+00:00,4,0,0,0,81559,31,76.92
2026-05-25T09:38:31.001505+00:00,5,0,0,0,81559,28,70.51
2026-05-25T09:38:31.001505+00:00,6,0,0,0,81559,27,69.25
2026-05-25T09:38:31.001505+00:00,7,0,0,1283,81559,36,131.30
2026-05-25T09:38:32.181391+00:00,0,0,0,6312,81559,36,121.18
2026-05-25T09:38:32.181391+00:00,1,0,0,4,81559,27,71.59
2026-05-25T09:38:32.181391+00:00,2,0,0,4,81559,27,70.89
2026-05-25T09:38:32.181391+00:00,3,0,0,4,81559,32,73.46
2026-05-25T09:38:32.181391+00:00,4,0,0,1,81559,31,76.98
2026-05-25T09:38:32.181391+00:00,5,0,0,1,81559,28,70.51
2026-05-25T09:38:32.181391+00:00,6,0,0,1,81559,27,69.25
2026-05-25T09:38:32.181391+00:00,7,0,0,1283,81559,36,131.31
2026-05-25T09:38:33.964757+00:00,0,0,0,6312,81559,36,121.19
2026-05-25T09:38:33.964757+00:00,1,0,0,4,81559,27,72.03
2026-05-25T09:38:33.964757+00:00,2,0,0,4,81559,27,70.89
2026-05-25T09:38:33.964757+00:00,3,0,0,4,81559,32,73.43
2026-05-25T09:38:33.964757+00:00,4,0,0,4,81559,31,76.96
2026-05-25T09:38:33.964757+00:00,5,0,0,4,81559,28,73.75
2026-05-25T09:38:33.964757+00:00,6,0,0,4,81559,27,69.31
2026-05-25T09:38:33.964757+00:00,7,0,0,1283,81559,36,131.31
2026-05-25T09:38:35.152271+00:00,0,0,0,7304,81559,36,117.81
2026-05-25T09:38:35.152271+00:00,1,0,0,4,81559,27,69.86
2026-05-25T09:38:35.152271+00:00,2,0,0,4,81559,27,70.92
2026-05-25T09:38:35.152271+00:00,3,0,0,4,81559,32,73.43
2026-05-25T09:38:35.152271+00:00,4,0,0,4,81559,31,76.92
2026-05-25T09:38:35.152271+00:00,5,0,0,4,81559,28,73.20
2026-05-25T09:38:35.152271+00:00,6,0,0,4,81559,27,69.29
2026-05-25T09:38:35.152271+00:00,7,0,0,1283,81559,36,131.30
2026-05-25T09:38:36.315774+00:00,0,0,0,7964,81559,36,117.00
2026-05-25T09:38:36.315774+00:00,1,0,0,4,81559,27,69.85
2026-05-25T09:38:36.315774+00:00,2,0,0,4,81559,27,70.88
2026-05-25T09:38:36.315774+00:00,3,0,0,4,81559,32,73.43
2026-05-25T09:38:36.315774+00:00,4,0,0,4,81559,31,76.93
2026-05-25T09:38:36.315774+00:00,5,0,0,4,81559,28,70.51
2026-05-25T09:38:36.315774+00:00,6,0,0,4,81559,27,69.25
2026-05-25T09:38:36.315774+00:00,7,0,0,1283,81559,36,131.27
2026-05-25T09:38:37.504435+00:00,0,0,0,7964,81559,36,116.74
2026-05-25T09:38:37.504435+00:00,1,0,0,4,81559,27,69.89
2026-05-25T09:38:37.504435+00:00,2,0,0,4,81559,27,70.82
2026-05-25T09:38:37.504435+00:00,3,0,0,4,81559,32,73.45
2026-05-25T09:38:37.504435+00:00,4,0,0,4,81559,31,76.94
2026-05-25T09:38:37.504435+00:00,5,0,0,4,81559,28,70.55
2026-05-25T09:38:37.504435+00:00,6,0,0,4,81559,27,69.26
2026-05-25T09:38:37.504435+00:00,7,0,0,1283,81559,36,131.29
2026-05-25T09:38:38.668270+00:00,0,0,0,7964,81559,36,116.66
2026-05-25T09:38:38.668270+00:00,1,0,0,4,81559,27,69.84
2026-05-25T09:38:38.668270+00:00,2,0,0,4,81559,27,70.88
2026-05-25T09:38:38.668270+00:00,3,0,0,4,81559,32,73.44
2026-05-25T09:38:38.668270+00:00,4,0,0,4,81559,31,76.92
2026-05-25T09:38:38.668270+00:00,5,0,0,4,81559,28,70.55
2026-05-25T09:38:38.668270+00:00,6,0,0,4,81559,27,69.25
2026-05-25T09:38:38.668270+00:00,7,0,0,1283,81559,36,131.31
2026-05-25T09:38:39.843868+00:00,0,0,0,7964,81559,36,116.70
2026-05-25T09:38:39.843868+00:00,1,0,0,4,81559,27,69.84
2026-05-25T09:38:39.843868+00:00,2,0,0,4,81559,27,70.88
2026-05-25T09:38:39.843868+00:00,3,0,0,4,81559,32,73.42
2026-05-25T09:38:39.843868+00:00,4,0,0,4,81559,31,76.96
2026-05-25T09:38:39.843868+00:00,5,0,0,4,81559,28,70.54
2026-05-25T09:38:39.843868+00:00,6,0,0,4,81559,27,69.25
2026-05-25T09:38:39.843868+00:00,7,0,0,1283,81559,36,131.30
2026-05-25T09:38:41.007692+00:00,0,4,2,8172,81559,36,118.33
2026-05-25T09:38:41.007692+00:00,1,0,0,4,81559,27,69.81
2026-05-25T09:38:41.007692+00:00,2,0,0,4,81559,27,70.87
2026-05-25T09:38:41.007692+00:00,3,0,0,4,81559,32,73.46
2026-05-25T09:38:41.007692+00:00,4,0,0,4,81559,31,76.91
2026-05-25T09:38:41.007692+00:00,5,0,0,4,81559,28,70.51
2026-05-25T09:38:41.007692+00:00,6,0,0,4,81559,27,69.27
2026-05-25T09:38:41.007692+00:00,7,0,0,1283,81559,36,131.28
2026-05-25T09:38:42.173366+00:00,0,0,0,8226,81559,36,117.30
2026-05-25T09:38:42.173366+00:00,1,0,0,4,81559,27,69.83
2026-05-25T09:38:42.173366+00:00,2,0,0,4,81559,27,70.96
2026-05-25T09:38:42.173366+00:00,3,0,0,4,81559,32,73.43
2026-05-25T09:38:42.173366+00:00,4,0,0,4,81559,31,76.93
2026-05-25T09:38:42.173366+00:00,5,0,0,4,81559,28,70.49
2026-05-25T09:38:42.173366+00:00,6,0,0,4,81559,27,69.27
2026-05-25T09:38:42.173366+00:00,7,0,0,1283,81559,36,131.30
2026-05-25T09:38:43.349696+00:00,0,0,0,39284,81559,36,122.20
2026-05-25T09:38:43.349696+00:00,1,0,0,4,81559,27,69.87
2026-05-25T09:38:43.349696+00:00,2,0,0,4,81559,27,70.86
2026-05-25T09:38:43.349696+00:00,3,0,0,4,81559,32,73.39
2026-05-25T09:38:43.349696+00:00,4,0,0,4,81559,31,76.96
2026-05-25T09:38:43.349696+00:00,5,0,0,4,81559,28,70.51
2026-05-25T09:38:43.349696+00:00,6,0,0,4,81559,27,69.27
2026-05-25T09:38:43.349696+00:00,7,0,0,1283,81559,36,131.31
2026-05-25T09:38:44.537709+00:00,0,0,0,39464,81559,36,119.03
2026-05-25T09:38:44.537709+00:00,1,0,0,4,81559,27,69.80
2026-05-25T09:38:44.537709+00:00,2,0,0,4,81559,27,70.86
2026-05-25T09:38:44.537709+00:00,3,0,0,4,81559,32,73.43
2026-05-25T09:38:44.537709+00:00,4,0,0,4,81559,31,76.93
2026-05-25T09:38:44.537709+00:00,5,0,0,4,81559,28,70.48
2026-05-25T09:38:44.537709+00:00,6,0,0,4,81559,27,69.24
2026-05-25T09:38:44.537709+00:00,7,0,0,1283,81559,36,131.28
2026-05-25T09:38:45.707971+00:00,0,25,8,39470,81559,37,153.26
2026-05-25T09:38:45.707971+00:00,1,0,0,4,81559,27,69.83
2026-05-25T09:38:45.707971+00:00,2,0,0,4,81559,27,70.88
2026-05-25T09:38:45.707971+00:00,3,0,0,4,81559,32,73.42
2026-05-25T09:38:45.707971+00:00,4,0,0,4,81559,31,76.94
2026-05-25T09:38:45.707971+00:00,5,0,0,4,81559,28,70.51
2026-05-25T09:38:45.707971+00:00,6,0,0,4,81559,27,69.25
2026-05-25T09:38:45.707971+00:00,7,0,0,1283,81559,36,131.26
2026-05-25T09:38:46.906110+00:00,0,24,8,39470,81559,37,164.16
2026-05-25T09:38:46.906110+00:00,1,0,0,4,81559,27,69.86
2026-05-25T09:38:46.906110+00:00,2,0,0,4,81559,27,70.84
2026-05-25T09:38:46.906110+00:00,3,0,0,4,81559,32,73.43
2026-05-25T09:38:46.906110+00:00,4,0,0,4,81559,31,76.93
2026-05-25T09:38:46.906110+00:00,5,0,0,4,81559,28,70.53
2026-05-25T09:38:46.906110+00:00,6,0,0,4,81559,27,69.30
2026-05-25T09:38:46.906110+00:00,7,0,0,1283,81559,36,131.26
2026-05-25T09:38:48.078645+00:00,0,26,9,39470,81559,37,166.62
2026-05-25T09:38:48.078645+00:00,1,0,0,4,81559,27,69.84
2026-05-25T09:38:48.078645+00:00,2,0,0,4,81559,27,70.92
2026-05-25T09:38:48.078645+00:00,3,0,0,4,81559,32,73.43
2026-05-25T09:38:48.078645+00:00,4,0,0,4,81559,31,76.92
2026-05-25T09:38:48.078645+00:00,5,0,0,4,81559,28,70.52
2026-05-25T09:38:48.078645+00:00,6,0,0,4,81559,27,69.24
2026-05-25T09:38:48.078645+00:00,7,0,0,1283,81559,36,131.29
2026-05-25T09:38:49.276040+00:00,0,69,11,6312,81559,36,135.27
2026-05-25T09:38:49.276040+00:00,1,0,0,0,81559,27,69.85
2026-05-25T09:38:49.276040+00:00,2,0,0,0,81559,27,70.90
2026-05-25T09:38:49.276040+00:00,3,0,0,0,81559,32,73.39
2026-05-25T09:38:49.276040+00:00,4,0,0,0,81559,31,76.93
2026-05-25T09:38:49.276040+00:00,5,0,0,0,81559,28,70.54
2026-05-25T09:38:49.276040+00:00,6,0,0,0,81559,27,69.25
2026-05-25T09:38:49.276040+00:00,7,0,0,1283,81559,36,131.28
2026-05-25T09:38:50.437586+00:00,0,0,0,6312,81559,36,121.29
2026-05-25T09:38:50.437586+00:00,1,0,0,0,81559,27,69.84
2026-05-25T09:38:50.437586+00:00,2,0,0,0,81559,27,70.85
2026-05-25T09:38:50.437586+00:00,3,0,0,0,81559,32,73.39
2026-05-25T09:38:50.437586+00:00,4,0,0,0,81559,31,76.91
2026-05-25T09:38:50.437586+00:00,5,0,0,0,81559,28,70.50
2026-05-25T09:38:50.437586+00:00,6,0,0,0,81559,27,69.31
2026-05-25T09:38:50.437586+00:00,7,0,0,1283,81559,36,131.25
2026-05-25T09:38:51.607794+00:00,0,0,0,6312,81559,36,121.21
2026-05-25T09:38:51.607794+00:00,1,0,0,0,81559,27,69.83
2026-05-25T09:38:51.607794+00:00,2,0,0,0,81559,27,70.86
2026-05-25T09:38:51.607794+00:00,3,0,0,0,81559,32,73.42
2026-05-25T09:38:51.607794+00:00,4,0,0,0,81559,31,76.92
2026-05-25T09:38:51.607794+00:00,5,0,0,0,81559,28,70.50
2026-05-25T09:38:51.607794+00:00,6,0,0,0,81559,27,69.26
2026-05-25T09:38:51.607794+00:00,7,0,0,1283,81559,36,131.25
