timestamp,elapsed_s,gpu0_util_pct,gpu0_mem_util_pct,gpu0_mem_used_mb,gpu0_power_w,gpu0_temp_c,gpu_avg_util_pct,gpu_avg_mem_util_pct,gpu_avg_power_w
2026-04-18 11:14:39.707,1.9,0.0,0.0,21390.0,48.48,41.0,0.0,0.0,48.48
2026-04-18 11:14:41.730,3.923,0.0,0.0,21390.0,46.61,40.0,0.0,0.0,46.61
2026-04-18 11:14:43.752,5.945,0.0,0.0,21390.0,46.77,40.0,0.0,0.0,46.77
2026-04-18 11:14:45.772,7.965,0.0,0.0,21390.0,56.25,41.0,0.0,0.0,56.25
2026-04-18 11:14:47.795,9.988,0.0,0.0,21390.0,47.2,40.0,0.0,0.0,47.2
2026-04-18 11:14:49.817,12.01,0.0,0.0,21390.0,46.76,40.0,0.0,0.0,46.76
2026-04-18 11:14:51.848,14.041,0.0,0.0,21390.0,49.03,41.0,0.0,0.0,49.03
2026-04-18 11:14:53.882,16.075,0.0,0.0,21390.0,47.74,41.0,0.0,0.0,47.74
2026-04-18 11:14:55.916,18.108,0.0,0.0,21390.0,46.59,41.0,0.0,0.0,46.59
2026-04-18 11:14:57.945,20.138,0.0,0.0,21390.0,46.6,40.0,0.0,0.0,46.6
2026-04-18 11:14:59.979,22.172,0.0,0.0,21390.0,56.35,41.0,0.0,0.0,56.35
2026-04-18 11:15:02.012,24.205,0.0,0.0,21390.0,47.13,41.0,0.0,0.0,47.13
2026-04-18 11:15:04.045,26.238,0.0,0.0,21390.0,46.72,41.0,0.0,0.0,46.72
2026-04-18 11:15:06.082,28.275,0.0,0.0,21390.0,47.23,41.0,0.0,0.0,47.23
2026-04-18 11:15:08.116,30.309,0.0,0.0,21390.0,48.22,41.0,0.0,0.0,48.22
2026-04-18 11:15:10.150,32.343,0.0,0.0,21390.0,46.93,41.0,0.0,0.0,46.93
2026-04-18 11:15:12.184,34.377,0.0,0.0,21390.0,46.92,40.0,0.0,0.0,46.92
2026-04-18 11:15:14.218,36.411,0.0,0.0,21390.0,56.36,41.0,0.0,0.0,56.36
2026-04-18 11:15:16.252,38.445,0.0,0.0,21390.0,47.1,41.0,0.0,0.0,47.1
2026-04-18 11:15:18.285,40.478,0.0,0.0,21390.0,46.69,41.0,0.0,0.0,46.69
2026-04-18 11:15:20.320,42.513,0.0,0.0,21390.0,47.81,41.0,0.0,0.0,47.81
2026-04-18 11:15:22.354,44.547,0.0,0.0,21390.0,47.72,41.0,0.0,0.0,47.72
2026-04-18 11:15:24.387,46.58,0.0,0.0,21390.0,46.63,41.0,0.0,0.0,46.63
2026-04-18 11:15:26.422,48.615,0.0,0.0,21390.0,46.68,41.0,0.0,0.0,46.68
2026-04-18 11:15:28.456,50.649,0.0,0.0,21390.0,56.65,41.0,0.0,0.0,56.65
2026-04-18 11:15:30.492,52.685,0.0,0.0,21390.0,47.18,41.0,0.0,0.0,47.18
2026-04-18 11:15:32.525,54.718,0.0,0.0,21390.0,46.75,41.0,0.0,0.0,46.75
2026-04-18 11:15:34.559,56.752,0.0,0.0,21390.0,46.79,41.0,0.0,0.0,46.79
2026-04-18 11:15:36.594,58.787,0.0,0.0,21390.0,55.97,41.0,0.0,0.0,55.97
2026-04-18 11:15:38.629,60.822,0.0,0.0,21390.0,50.04,41.0,0.0,0.0,50.04
2026-04-18 11:15:40.650,62.843,0.0,0.0,21390.0,145.29,45.0,0.0,0.0,145.29
2026-04-18 11:15:42.679,64.872,0.0,0.0,21390.0,145.71,46.0,0.0,0.0,145.71
2026-04-18 11:15:44.707,66.9,0.0,0.0,21390.0,145.8,46.0,0.0,0.0,145.8
2026-04-18 11:15:46.736,68.929,85.0,89.0,21392.0,379.46,55.0,85.0,89.0,379.46
2026-04-18 11:15:48.767,70.96,79.0,82.0,21392.0,373.85,56.0,79.0,82.0,373.85
2026-04-18 11:15:50.795,72.988,82.0,85.0,21392.0,377.36,57.0,82.0,85.0,377.36
2026-04-18 11:15:52.826,75.019,80.0,84.0,21392.0,373.77,57.0,80.0,84.0,373.77
2026-04-18 11:15:54.862,77.055,82.0,85.0,21392.0,342.5,54.0,82.0,85.0,342.5
2026-04-18 11:15:56.895,79.088,78.0,82.0,21392.0,375.65,57.0,78.0,82.0,375.65
2026-04-18 11:15:58.928,81.121,82.0,86.0,21392.0,375.63,57.0,82.0,86.0,375.63
2026-04-18 11:16:00.962,83.155,80.0,84.0,21392.0,374.85,57.0,80.0,84.0,374.85
2026-04-18 11:16:02.992,85.185,82.0,86.0,21392.0,376.72,58.0,82.0,86.0,376.72
2026-04-18 11:16:05.026,87.219,82.0,86.0,21392.0,380.11,58.0,82.0,86.0,380.11
2026-04-18 11:16:07.057,89.25,81.0,84.0,21392.0,378.24,59.0,81.0,84.0,378.24
2026-04-18 11:16:09.092,91.285,82.0,86.0,21392.0,378.61,59.0,82.0,86.0,378.61
2026-04-18 11:16:11.124,93.317,83.0,86.0,21392.0,377.8,59.0,83.0,86.0,377.8
2026-04-18 11:16:13.157,95.35,87.0,90.0,21392.0,379.58,60.0,87.0,90.0,379.58
2026-04-18 11:16:15.193,97.386,85.0,89.0,21392.0,378.57,59.0,85.0,89.0,378.57
2026-04-18 11:16:17.224,99.417,82.0,85.0,21392.0,381.97,60.0,82.0,85.0,381.97
2026-04-18 11:16:19.255,101.448,83.0,87.0,21392.0,380.27,60.0,83.0,87.0,380.27
