trace,tp_rank,window,clock_domain,window_start_us,window_end_us,window_len_us,gpu_op_count,kernel_count,memcpy_count,memset_count,gpu_op_duration_sum_us,gpu_busy_union_us,gpu_idle_union_us,gpu_busy_fraction,compute_union_us,memcpy_union_us,compute_memcpy_overlap_us,annotation_duration_sum_us,busy_union_last_end_us,request_coverage_fraction,moe_kernel_count_in_window,moe_boundary_method,inter_moe_gap_count,inter_moe_idle_p50_us,inter_moe_idle_p95_us,inter_moe_idle_max_us,inter_moe_idle_sum_us,validity,orig_gpu_ops,orig_gpu_busy_s,orig_span_s,orig_busy_fraction,orig_gap_field,correction_reason
D2_1789610161-TP-0.trace.json.gz,0,trace_full,"host CLOCK_REALTIME (kineto baseTimeNanoseconds + ts); bench t_start/t_end = client host epoch(같은 호스트, 다른 컨테이너), 정렬 오차 미검증",1789610162046514.8,1789610203007697.2,40961182.5,825802,699005,125609,1188,16439182.75,16073483.0,24887699.5,0.392,12419197.0,3654148.0,1338.25,48746213.25,1789610203007697.2,1.0,49228,name regex fused_moe_kernel (HEURISTIC),49227,38.25,725.75,409443.5,8463240.0,CORRECTED_AGGREGATION;HEURISTIC_MOE_BOUNDARY,825802,16.438,40.961,0.401,774666 / 0.5126953125 / 10.462890625 / 354.33203125 / 16411161.338867188 / 24.888,원 집계는 gpu_user_annotation 포함·stream 합계 혼재·요청 전 준비구간 포함; 정정은 kernel/memcpy/memset 만 clip 후 union
D2_1789610161-TP-0.trace.json.gz,0,request_window,"host CLOCK_REALTIME (kineto baseTimeNanoseconds + ts); bench t_start/t_end = client host epoch(같은 호스트, 다른 컨테이너), 정렬 오차 미검증",1789610165170959.5,1789610202692441.0,37521481.5,821823,695728,124909,1186,16029762.25,15814807.75,21706673.75,0.421,12162165.75,3652504.25,1337.0,48158494.0,1789610202305489.5,1.0,48980,name regex fused_moe_kernel (HEURISTIC),48979,38.0,725.75,92098.0,8019852.25,CORRECTED_AGGREGATION;HEURISTIC_MOE_BOUNDARY;UNMEASURED_CLOCK_ALIGNMENT(client↔profiler),825802,16.438,40.961,0.401,774666 / 0.5126953125 / 10.462890625 / 354.33203125 / 16411161.338867188 / 24.888,원 집계는 gpu_user_annotation 포함·stream 합계 혼재·요청 전 준비구간 포함; 정정은 kernel/memcpy/memset 만 clip 후 union
D2_1789610161-TP-1.trace.json.gz,1,trace_full,"host CLOCK_REALTIME (kineto baseTimeNanoseconds + ts); bench t_start/t_end = client host epoch(같은 호스트, 다른 컨테이너), 정렬 오차 미검증",1789610162046002.8,1789610203007695.5,40961692.75,604262,601279,1795,1188,31756875.5,23432979.5,17528713.25,0.572,23423066.0,10004.25,1499.75,51535463.25,1789610203007695.5,1.0,49228,name regex fused_moe_kernel (HEURISTIC),49227,9.5,11.75,411975.25,1107868.0,CORRECTED_AGGREGATION;HEURISTIC_MOE_BOUNDARY,604262,31.758,40.962,0.775,549947 / 0.4482421875 / 1.1826171875 / 2.431640625 / 16411838.08203125 / 17.526,원 집계는 gpu_user_annotation 포함·stream 합계 혼재·요청 전 준비구간 포함; 정정은 kernel/memcpy/memset 만 clip 후 union
D2_1789610161-TP-1.trace.json.gz,1,request_window,"host CLOCK_REALTIME (kineto baseTimeNanoseconds + ts); bench t_start/t_end = client host epoch(같은 호스트, 다른 컨테이너), 정렬 오차 미검증",1789610165170959.5,1789610202692441.0,37521481.5,601399,598436,1777,1186,31711144.25,23400947.75,14120533.75,0.624,23391052.0,9986.75,1498.5,50948451.5,1789610202305489.2,1.0,48980,name regex fused_moe_kernel (HEURISTIC),48979,9.25,11.75,51419.0,437660.5,CORRECTED_AGGREGATION;HEURISTIC_MOE_BOUNDARY;UNMEASURED_CLOCK_ALIGNMENT(client↔profiler),604262,31.758,40.962,0.775,549947 / 0.4482421875 / 1.1826171875 / 2.431640625 / 16411838.08203125 / 17.526,원 집계는 gpu_user_annotation 포함·stream 합계 혼재·요청 전 준비구간 포함; 정정은 kernel/memcpy/memset 만 clip 후 union
D2_1789610161-TP-2.trace.json.gz,2,trace_full,"host CLOCK_REALTIME (kineto baseTimeNanoseconds + ts); bench t_start/t_end = client host epoch(같은 호스트, 다른 컨테이너), 정렬 오차 미검증",1789610162046317.0,1789610203007699.0,40961382.0,604262,601279,1795,1188,32149750.75,23698857.0,17262525.0,0.579,23688965.75,9996.0,1521.5,51550552.75,1789610203007699.0,1.0,49228,name regex fused_moe_kernel (HEURISTIC),49227,8.75,11.75,409061.75,842098.0,CORRECTED_AGGREGATION;HEURISTIC_MOE_BOUNDARY,604262,32.151,40.961,0.785,550522 / 0.4482421875 / 1.15234375 / 2.0791015625 / 16411531.216796875 / 17.261,원 집계는 gpu_user_annotation 포함·stream 합계 혼재·요청 전 준비구간 포함; 정정은 kernel/memcpy/memset 만 clip 후 union
D2_1789610161-TP-2.trace.json.gz,2,request_window,"host CLOCK_REALTIME (kineto baseTimeNanoseconds + ts); bench t_start/t_end = client host epoch(같은 호스트, 다른 컨테이너), 정렬 오차 미검증",1789610165170959.5,1789610202692441.0,37521481.5,601399,598436,1777,1186,31676590.0,23410477.75,14111003.75,0.624,23400603.5,9978.25,1519.25,50958566.0,1789610202305491.5,1.0,48980,name regex fused_moe_kernel (HEURISTIC),48979,8.5,11.75,48145.5,428240.25,CORRECTED_AGGREGATION;HEURISTIC_MOE_BOUNDARY;UNMEASURED_CLOCK_ALIGNMENT(client↔profiler),604262,32.151,40.961,0.785,550522 / 0.4482421875 / 1.15234375 / 2.0791015625 / 16411531.216796875 / 17.261,원 집계는 gpu_user_annotation 포함·stream 합계 혼재·요청 전 준비구간 포함; 정정은 kernel/memcpy/memset 만 clip 후 union
D2_1789610161-TP-3.trace.json.gz,3,trace_full,"host CLOCK_REALTIME (kineto baseTimeNanoseconds + ts); bench t_start/t_end = client host epoch(같은 호스트, 다른 컨테이너), 정렬 오차 미검증",1789610162045305.2,1789610203007702.8,40962397.5,604262,601279,1795,1188,32146681.25,23670927.5,17291470.0,0.578,23660981.75,10025.0,1504.0,51527999.75,1789610203007702.8,1.0,49228,name regex fused_moe_kernel (HEURISTIC),49227,8.75,11.75,412573.25,870043.5,CORRECTED_AGGREGATION;HEURISTIC_MOE_BOUNDARY,604262,32.149,40.962,0.785,549089 / 0.4482421875 / 1.18359375 / 2.1435546875 / 16412551.061523438 / 17.289,원 집계는 gpu_user_annotation 포함·stream 합계 혼재·요청 전 준비구간 포함; 정정은 kernel/memcpy/memset 만 clip 후 union
D2_1789610161-TP-3.trace.json.gz,3,request_window,"host CLOCK_REALTIME (kineto baseTimeNanoseconds + ts); bench t_start/t_end = client host epoch(같은 호스트, 다른 컨테이너), 정렬 오차 미검증",1789610165170959.5,1789610202692441.0,37521481.5,601399,598436,1777,1186,31705949.25,23400269.0,14121212.5,0.624,23390341.75,10006.5,1502.5,50942464.75,1789610202305489.0,1.0,48980,name regex fused_moe_kernel (HEURISTIC),48979,8.0,11.75,50679.25,438463.0,CORRECTED_AGGREGATION;HEURISTIC_MOE_BOUNDARY;UNMEASURED_CLOCK_ALIGNMENT(client↔profiler),604262,32.149,40.962,0.785,549089 / 0.4482421875 / 1.18359375 / 2.1435546875 / 16412551.061523438 / 17.289,원 집계는 gpu_user_annotation 포함·stream 합계 혼재·요청 전 준비구간 포함; 정정은 kernel/memcpy/memset 만 clip 후 union
