campaign,boot,mode,session,workload,out_tps,duration_s,e2el_p50_ms,ttft_p95_ms,tpot_p95_ms,ref_P0_mean_out_tps,throughput_ratio,elapsed_ratio,latency_ratio(e2el_p50),ttft_p95_ratio,tpot_p95_ratio,order_in_boot,note
IDE_074_20260917,B1_131834,OFF,P0_r1,M073_QWEN_PROBE128,720.8043122434942,22.730163682019338,10421.807572012767,3113.9107603987213,73.29657594893334,744.7128845254266,0.9678955839508964,1.0319436027948048,1.0353367434673548,1.0024514673746303,1.026463365826413,P0_r1,부팅 간 비교 (KT_EVT 정적 env). 허용 기준 사전 미설정 → 비율만 보고
IDE_074_20260917,B1_131834,OFF,P0_r2,M073_QWEN_PROBE128,780.7209255748213,20.98573185794521,9477.190177945886,3043.2228045305237,69.93874973346163,744.7128845254266,1.0483515752145756,0.9527468452813963,0.941495335454585,0.9796951167473199,0.9794395375728996,P0_r2,부팅 간 비교 (KT_EVT 정적 env). 허용 기준 사전 미설정 → 비율만 보고
IDE_074_20260917,B1_131834,OFF,P0_r3,M073_QWEN_PROBE128,732.6134157579644,22.36377282696776,10299.314937496092,3161.7537680023815,70.9854007141727,744.7128845254266,0.9837528408345282,1.0153095519237991,1.02316792107806,1.0178534158780497,0.994097096600687,P0_r3,부팅 간 비교 (KT_EVT 정적 env). 허용 기준 사전 미설정 → 비율만 보고
IDE_074_20260917,B2_132633,P1,P1_r1,M073_QWEN_PROBE128,696.3933468125937,23.526933557004668,10684.177822025958,3398.464369215071,70.9787201652428,744.7128845254266,0.9351165546925848,1.068116750814902,1.0614014696057315,1.0940569129552773,0.994003540542285,P1_r1,부팅 간 비교 (KT_EVT 정적 env). 허용 기준 사전 미설정 → 비율만 보고
IDE_074_20260917,B2_132633,P1,P1_r2,M073_QWEN_PROBE128,705.6171301673403,23.21939094096888,10523.156879004091,3126.3310764275957,71.22652094937699,744.7128845254266,0.9475022452673149,1.054154394905606,1.0454051179530683,1.0064499005303729,0.9974738039706069,P1_r2,부팅 간 비교 (KT_EVT 정적 env). 허용 기준 사전 미설정 → 비율만 보고
IDE_074_20260917,B2_132633,P1,P1_r3,M073_QWEN_PROBE128,690.7634076994631,23.718685467960313,10808.940519986209,3217.464433267014,72.7562503240669,744.7128845254266,0.9275566759391531,1.0768222384041044,1.0737958075859537,1.0357881745914936,1.0188965122270162,P1_r3,부팅 간 비교 (KT_EVT 정적 env). 허용 기준 사전 미설정 → 비율만 보고
IDE_074_20260917,B3_133528,P2,P2_r1,M073_QWEN_PROBE128,706.4568634644537,23.191791101940908,10492.848481575493,3245.3389538510237,71.72023115347793,744.7128845254266,0.948629838618474,1.0529013692907658,1.0423941817717377,1.0447617310649704,1.0043878436959737,P2_r1,부팅 간 비교 (KT_EVT 정적 env). 허용 기준 사전 미설정 → 비율만 보고
IDE_074_20260917,B3_133528,P2,P2_r2,M073_QWEN_PROBE128,720.6663963000112,22.734513617004268,10364.577623491641,3061.958796181716,70.31313990344528,744.7128845254266,0.9677103905074247,1.0321410887277294,1.029651331592184,0.9857267354315534,0.9846825900489318,P2_r2,부팅 간 비교 (KT_EVT 정적 env). 허용 기준 사전 미설정 → 비율만 보고
IDE_074_20260917,B3_133528,P2,P2_r3,M073_QWEN_PROBE128,705.2454001129059,23.231629724032246,10525.596559979022,3082.526331662666,71.84933114862876,744.7128845254266,0.9470030863805028,1.0547100325184677,1.045647483909092,0.9923479772427728,1.0061957919368716,P2_r3,부팅 간 비교 (KT_EVT 정적 env). 허용 기준 사전 미설정 → 비율만 보고
IDE_074_20260917,SMOKE_131024,P1,S1_P1_PROBE128,M073_QWEN_PROBE128,679.6358704596561,24.107026588986628,10850.437904999126,3533.9857914252207,73.1883668767446,744.7128845254266,0.9126146258269168,1.0944528257219721,1.0779182947039334,1.1376848968663724,1.02494797923415,S1_P1_PROBE128,부팅 간 비교 (KT_EVT 정적 env). 허용 기준 사전 미설정 → 비율만 보고
