ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
100.0,harvest,mon_L3_00,234.1,16.22,1.02
100.0,harvest,mon_L3_01,243.0,16.68,16.68
102.0,harvest,mon_L3_00,235.0,16.20,1.00
102.0,harvest,mon_L3_01,242.6,16.77,16.77
104.0,harvest,mon_L3_00,222.3,16.21,1.02
104.0,harvest,mon_L3_01,242.0,16.71,16.71
106.0,harvest,mon_L3_00,237.1,16.21,0.97
106.0,harvest,mon_L3_01,247.0,16.71,16.71
108.0,harvest,mon_L3_00,232.9,16.24,0.99
108.0,harvest,mon_L3_01,251.0,16.66,16.66
110.0,harvest,mon_L3_00,239.5,16.19,1.00
110.0,harvest,mon_L3_01,243.5,16.67,16.67
112.0,harvest,mon_L3_00,246.3,16.17,0.99
112.0,harvest,mon_L3_01,247.0,16.68,16.68
114.0,harvest,mon_L3_00,244.7,16.21,1.00
114.0,harvest,mon_L3_01,243.6,16.70,16.70
116.0,harvest,mon_L3_00,242.7,16.23,0.99
116.0,harvest,mon_L3_01,244.9,16.70,16.70
118.0,harvest,mon_L3_00,254.9,16.23,0.95
118.0,harvest,mon_L3_01,242.5,16.72,16.72
120.0,harvest,mon_L3_00,260.2,16.20,0.99
120.0,harvest,mon_L3_01,247.5,16.72,16.72
122.0,harvest,mon_L3_00,253.2,16.21,1.01
122.0,harvest,mon_L3_01,236.4,16.76,16.76
124.0,harvest,mon_L3_00,261.4,16.18,1.00
124.0,harvest,mon_L3_01,245.2,16.77,16.77
126.0,harvest,mon_L3_00,261.3,16.18,1.01
126.0,harvest,mon_L3_01,240.5,16.80,16.80
128.0,harvest,mon_L3_00,224.2,16.21,1.00
128.0,harvest,mon_L3_01,234.0,16.75,16.75
130.0,harvest,mon_L3_00,263.6,16.15,1.01
130.0,harvest,mon_L3_01,234.7,16.77,16.77
132.0,harvest,mon_L3_00,260.6,16.20,1.01
132.0,harvest,mon_L3_01,245.3,16.67,16.68
134.0,harvest,mon_L3_00,265.2,16.20,0.99
134.0,harvest,mon_L3_01,238.7,16.69,16.68
136.0,harvest,mon_L3_00,260.2,16.16,0.96
136.0,harvest,mon_L3_01,239.4,16.73,16.73
138.0,harvest,mon_L3_00,262.0,16.19,1.00
138.0,harvest,mon_L3_01,239.1,16.74,16.73
140.0,harvest,mon_L3_00,266.0,16.16,0.99
140.0,harvest,mon_L3_01,242.5,16.70,16.70
142.0,harvest,mon_L3_00,244.5,16.17,1.00
142.0,harvest,mon_L3_01,227.9,16.75,16.74
144.0,harvest,mon_L3_00,255.2,16.18,1.02
144.0,harvest,mon_L3_01,233.6,16.68,16.69
146.0,harvest,mon_L3_00,262.0,16.16,0.99
146.0,harvest,mon_L3_01,231.3,16.78,16.78
148.0,harvest,mon_L3_00,236.7,16.26,1.00
148.0,harvest,mon_L3_01,246.1,16.63,16.63
150.0,harvest,mon_L3_00,236.6,16.28,0.99
150.0,harvest,mon_L3_01,232.3,16.57,16.57
152.0,harvest,mon_L3_00,256.6,16.24,0.99
152.0,harvest,mon_L3_01,252.4,16.58,16.58
154.0,harvest,mon_L3_00,241.6,16.32,1.01
154.0,harvest,mon_L3_01,240.2,16.55,16.55
156.0,harvest,mon_L3_00,250.3,16.26,0.98
156.0,harvest,mon_L3_01,246.6,16.55,16.55
158.0,harvest,mon_L3_00,249.6,16.23,1.00
158.0,harvest,mon_L3_01,243.0,16.66,16.66
160.0,harvest,mon_L3_00,254.4,16.27,0.99
160.0,harvest,mon_L3_01,252.1,16.65,16.65
162.0,harvest,mon_L3_00,225.8,16.30,1.00
162.0,harvest,mon_L3_01,252.9,16.64,16.64
164.1,harvest,mon_L3_00,234.8,16.24,1.01
164.1,harvest,mon_L3_01,254.5,16.65,16.65
166.1,harvest,mon_L3_00,244.7,16.16,1.01
166.1,harvest,mon_L3_01,250.5,16.60,16.60
168.1,harvest,mon_L3_00,227.0,16.20,1.00
