worker=3 K=3584 N=18944 B=128 dtype=bf16
  t=5.0s iters=185 tflops=0.64
  t=10.0s iters=373 tflops=0.65
  t=15.1s iters=572 tflops=0.66
  t=20.1s iters=756 tflops=0.66
  t=25.1s iters=938 tflops=0.65
  t=30.1s iters=1136 tflops=0.66
  t=35.1s iters=1335 tflops=0.66
  t=40.1s iters=1533 tflops=0.66
  t=45.1s iters=1732 tflops=0.67
  t=50.1s iters=1928 tflops=0.67
