ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
2.0,harvest,mon_L3_00,99.3,64.00,0.00
2.0,harvest,mon_L3_01,83.9,83.34,83.34
4.0,harvest,mon_L3_00,137.3,62.99,0.00
4.0,harvest,mon_L3_01,121.1,81.57,81.57
6.0,harvest,mon_L3_00,220.2,61.38,0.00
6.0,harvest,mon_L3_01,220.8,79.78,79.78
8.0,harvest,mon_L3_00,243.2,59.56,0.00
8.0,harvest,mon_L3_01,238.1,74.64,74.64
10.0,harvest,mon_L3_00,221.1,59.91,0.00
10.0,harvest,mon_L3_01,231.3,74.20,74.20
12.0,harvest,mon_L3_00,215.5,60.35,0.00
12.0,harvest,mon_L3_01,237.0,74.26,74.26
14.0,harvest,mon_L3_00,211.9,60.86,0.00
14.0,harvest,mon_L3_01,227.8,74.40,74.40
16.0,harvest,mon_L3_00,226.9,60.61,0.00
16.0,harvest,mon_L3_01,226.4,74.78,74.78
18.0,harvest,mon_L3_00,200.9,60.31,0.00
18.0,harvest,mon_L3_01,215.9,75.50,75.50
20.0,harvest,mon_L3_00,203.6,60.68,0.00
20.0,harvest,mon_L3_01,224.3,75.28,75.28
22.0,harvest,mon_L3_00,196.4,60.94,0.00
22.0,harvest,mon_L3_01,227.2,74.93,74.93
24.0,harvest,mon_L3_00,187.9,61.24,0.00
24.0,harvest,mon_L3_01,232.5,74.37,74.37
26.0,harvest,mon_L3_00,212.1,60.88,0.00
26.0,harvest,mon_L3_01,231.8,74.58,74.58
28.0,harvest,mon_L3_00,195.0,61.04,0.00
28.0,harvest,mon_L3_01,228.5,74.55,74.55
30.0,harvest,mon_L3_00,204.4,60.94,0.00
30.0,harvest,mon_L3_01,227.6,74.66,74.66
32.0,harvest,mon_L3_00,209.5,60.76,0.00
32.0,harvest,mon_L3_01,231.6,74.56,74.56
34.0,harvest,mon_L3_00,224.4,60.75,0.00
34.0,harvest,mon_L3_01,234.5,74.16,74.16
36.0,harvest,mon_L3_00,230.6,59.77,0.00
36.0,harvest,mon_L3_01,229.6,75.29,75.29
38.0,harvest,mon_L3_00,216.0,60.13,0.00
38.0,harvest,mon_L3_01,227.5,75.04,75.04
40.0,harvest,mon_L3_00,222.4,60.56,0.00
40.0,harvest,mon_L3_01,229.9,74.87,74.87
42.0,harvest,mon_L3_00,223.8,60.32,0.00
42.0,harvest,mon_L3_01,225.1,74.91,74.91
44.0,harvest,mon_L3_00,211.9,60.28,0.00
44.0,harvest,mon_L3_01,207.8,75.34,75.34
46.0,harvest,mon_L3_00,205.2,60.34,0.00
46.0,harvest,mon_L3_01,220.9,75.33,75.33
48.0,harvest,mon_L3_00,218.3,61.08,0.00
48.0,harvest,mon_L3_01,220.1,74.71,74.71
50.0,harvest,mon_L3_00,198.0,60.75,0.00
50.0,harvest,mon_L3_01,223.5,75.03,75.03
52.0,harvest,mon_L3_00,220.3,60.46,0.00
52.0,harvest,mon_L3_01,211.5,75.26,75.26
54.0,harvest,mon_L3_00,211.5,60.38,0.00
54.0,harvest,mon_L3_01,214.3,75.84,75.84
56.0,harvest,mon_L3_00,216.7,59.99,0.00
56.0,harvest,mon_L3_01,204.5,75.46,75.46
58.0,harvest,mon_L3_00,233.0,59.76,0.00
58.0,harvest,mon_L3_01,212.6,76.03,76.03
60.0,harvest,mon_L3_00,211.4,60.44,0.00
60.0,harvest,mon_L3_01,236.0,74.90,74.90
62.0,harvest,mon_L3_00,214.0,60.88,0.00
62.0,harvest,mon_L3_01,219.1,75.19,75.19
64.0,harvest,mon_L3_00,212.5,60.92,0.00
64.0,harvest,mon_L3_01,226.6,74.67,74.67
66.0,harvest,mon_L3_00,213.3,60.92,0.00
