ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
100.0,harvest,mon_L3_00,279.6,125.80,0.01
100.0,harvest,mon_L3_01,282.0,93.94,93.93
102.0,harvest,mon_L3_00,274.9,125.65,0.01
102.0,harvest,mon_L3_01,279.4,93.96,93.96
104.0,harvest,mon_L3_00,277.6,125.37,0.01
104.0,harvest,mon_L3_01,280.3,94.04,94.04
106.0,harvest,mon_L3_00,268.1,126.19,0.01
106.0,harvest,mon_L3_01,276.1,93.59,93.59
108.0,harvest,mon_L3_00,270.7,126.90,0.01
108.0,harvest,mon_L3_01,275.9,93.18,93.18
110.0,harvest,mon_L3_00,281.4,125.91,0.02
110.0,harvest,mon_L3_01,283.6,93.94,93.94
112.0,harvest,mon_L3_00,279.1,125.68,0.01
112.0,harvest,mon_L3_01,278.9,94.02,94.02
114.0,harvest,mon_L3_00,279.1,125.41,0.01
114.0,harvest,mon_L3_01,282.1,94.07,94.07
116.0,harvest,mon_L3_00,276.2,126.08,0.01
116.0,harvest,mon_L3_01,282.7,93.81,93.81
118.0,harvest,mon_L3_00,271.2,126.61,0.01
118.0,harvest,mon_L3_01,281.6,93.24,93.24
120.0,harvest,mon_L3_00,269.5,127.40,0.01
120.0,harvest,mon_L3_01,279.5,93.04,93.04
122.0,harvest,mon_L3_00,270.0,126.66,0.02
122.0,harvest,mon_L3_01,283.7,93.37,93.37
124.0,harvest,mon_L3_00,276.6,126.54,0.01
124.0,harvest,mon_L3_01,281.8,93.27,93.27
126.0,harvest,mon_L3_00,278.3,126.36,0.01
126.0,harvest,mon_L3_01,282.1,93.29,93.29
128.0,harvest,mon_L3_00,266.4,125.95,0.01
128.0,harvest,mon_L3_01,279.3,93.36,93.36
130.0,harvest,mon_L3_00,271.3,127.23,0.00
130.0,harvest,mon_L3_01,281.7,92.61,92.61
132.0,harvest,mon_L3_00,272.8,126.23,0.01
132.0,harvest,mon_L3_01,278.0,93.39,93.39
134.0,harvest,mon_L3_00,274.8,126.20,0.01
134.0,harvest,mon_L3_01,280.7,93.33,93.33
136.0,harvest,mon_L3_00,270.2,126.18,0.01
136.0,harvest,mon_L3_01,277.3,93.42,93.42
138.0,harvest,mon_L3_00,280.3,126.25,0.01
138.0,harvest,mon_L3_01,282.4,93.99,93.99
140.0,harvest,mon_L3_00,270.8,126.94,0.01
140.0,harvest,mon_L3_01,274.2,93.78,93.78
142.0,harvest,mon_L3_00,268.4,126.58,0.01
142.0,harvest,mon_L3_01,282.3,93.85,93.85
144.0,harvest,mon_L3_00,277.0,127.79,0.01
144.0,harvest,mon_L3_01,284.8,93.27,93.27
146.0,harvest,mon_L3_00,277.3,126.41,0.01
146.0,harvest,mon_L3_01,277.4,93.87,93.87
148.0,harvest,mon_L3_00,278.0,125.62,0.01
148.0,harvest,mon_L3_01,278.9,94.02,94.02
150.0,harvest,mon_L3_00,274.7,126.88,0.01
150.0,harvest,mon_L3_01,282.4,93.49,93.49
152.0,harvest,mon_L3_00,272.2,126.90,0.01
152.0,harvest,mon_L3_01,275.0,93.47,93.47
154.0,harvest,mon_L3_00,280.5,125.65,0.01
154.0,harvest,mon_L3_01,281.5,94.03,94.03
156.0,harvest,mon_L3_00,276.8,125.69,0.01
156.0,harvest,mon_L3_01,281.1,94.08,94.08
158.0,harvest,mon_L3_00,279.1,125.61,0.01
158.0,harvest,mon_L3_01,278.4,94.11,94.11
160.0,harvest,mon_L3_00,280.9,125.43,0.01
160.0,harvest,mon_L3_01,278.6,94.18,94.18
162.0,harvest,mon_L3_00,280.7,125.43,0.01
162.0,harvest,mon_L3_01,277.3,94.22,94.22
164.0,harvest,mon_L3_00,277.1,125.44,0.01
164.0,harvest,mon_L3_01,274.1,94.09,94.09
166.0,harvest,mon_L3_00,280.8,125.75,0.01
166.0,harvest,mon_L3_01,283.6,94.13,94.13
168.0,harvest,mon_L3_00,280.5,125.46,0.01
168.0,harvest,mon_L3_01,277.5,94.26,94.26
170.0,harvest,mon_L3_00,283.6,125.54,0.01
170.0,harvest,mon_L3_01,278.3,94.16,94.16
172.0,harvest,mon_L3_00,280.2,125.56,0.01
172.0,harvest,mon_L3_01,281.2,94.18,94.18
174.0,harvest,mon_L3_00,280.1,125.54,0.01
174.0,harvest,mon_L3_01,278.7,94.12,94.12
176.0,harvest,mon_L3_00,275.7,125.55,0.01
176.0,harvest,mon_L3_01,281.7,94.14,94.14
178.0,harvest,mon_L3_00,279.0,125.74,0.01
178.0,harvest,mon_L3_01,281.4,94.08,94.08
180.0,harvest,mon_L3_00,281.6,125.65,0.01
180.0,harvest,mon_L3_01,279.4,94.11,94.11
182.0,harvest,mon_L3_00,281.7,125.56,0.01
182.0,harvest,mon_L3_01,280.4,94.07,94.07
184.0,harvest,mon_L3_00,279.4,125.64,0.01
184.0,harvest,mon_L3_01,284.6,94.09,94.09
186.0,harvest,mon_L3_00,276.0,125.68,0.01
186.0,harvest,mon_L3_01,281.5,94.18,94.18
188.0,harvest,mon_L3_00,279.8,125.99,0.01
188.0,harvest,mon_L3_01,280.3,94.05,94.05
190.0,harvest,mon_L3_00,275.6,126.06,0.01
190.0,harvest,mon_L3_01,277.6,94.04,94.04
192.1,harvest,mon_L3_00,277.0,125.88,0.01
192.1,harvest,mon_L3_01,281.4,94.02,94.02
194.1,harvest,mon_L3_00,278.6,125.93,0.01
194.1,harvest,mon_L3_01,280.0,94.00,94.00
196.1,harvest,mon_L3_00,280.4,125.90,0.01
196.1,harvest,mon_L3_01,281.2,94.10,94.10
198.1,harvest,mon_L3_00,274.8,126.16,0.01
198.1,harvest,mon_L3_01,278.9,93.92,93.91
200.1,harvest,mon_L3_00,279.3,126.03,0.01
200.1,harvest,mon_L3_01,281.5,94.01,94.01
202.1,harvest,mon_L3_00,279.4,125.83,0.01
202.1,harvest,mon_L3_01,278.9,94.09,94.09
204.1,harvest,mon_L3_00,276.2,126.44,0.01
204.1,harvest,mon_L3_01,281.7,93.74,93.73
206.1,harvest,mon_L3_00,270.2,126.65,0.01
206.1,harvest,mon_L3_01,279.1,93.77,93.77
208.1,harvest,mon_L3_00,280.8,128.06,0.00
208.1,harvest,mon_L3_01,278.3,92.73,92.72
210.1,harvest,mon_L3_00,279.5,127.23,0.01
210.1,harvest,mon_L3_01,277.0,92.89,92.89
212.1,harvest,mon_L3_00,269.4,127.06,0.01
212.1,harvest,mon_L3_01,280.9,92.73,92.73
214.1,harvest,mon_L3_00,273.8,127.35,0.01
214.1,harvest,mon_L3_01,284.2,92.55,92.55
216.1,harvest,mon_L3_00,278.0,127.36,0.01
216.1,harvest,mon_L3_01,282.5,92.88,92.88
218.1,harvest,mon_L3_00,275.0,126.73,0.00
218.1,harvest,mon_L3_01,280.1,93.30,93.30
220.1,harvest,mon_L3_00,275.4,126.99,0.00
220.1,harvest,mon_L3_01,277.1,93.14,93.14
222.1,harvest,mon_L3_00,273.5,126.49,0.01
222.1,harvest,mon_L3_01,278.8,93.35,93.35
224.1,harvest,mon_L3_00,275.6,127.00,0.01
224.1,harvest,mon_L3_01,284.1,93.16,93.16
226.1,harvest,mon_L3_00,278.4,127.02,0.01
226.1,harvest,mon_L3_01,280.4,93.20,93.20
228.1,harvest,mon_L3_00,281.8,125.84,0.01
228.1,harvest,mon_L3_01,279.1,94.18,94.18
230.1,harvest,mon_L3_00,276.9,126.23,0.01
230.1,harvest,mon_L3_01,279.5,94.09,94.09
232.1,harvest,mon_L3_00,281.0,126.35,0.01
232.1,harvest,mon_L3_01,282.9,94.09,94.09
234.1,harvest,mon_L3_00,277.9,126.04,0.01
234.1,harvest,mon_L3_01,281.4,94.04,94.04
236.1,harvest,mon_L3_00,281.7,126.12,0.01
236.1,harvest,mon_L3_01,280.5,94.01,94.01
238.1,harvest,mon_L3_00,278.0,126.22,0.00
238.1,harvest,mon_L3_01,278.9,93.98,93.98
240.1,harvest,mon_L3_00,278.0,126.00,0.01
240.1,harvest,mon_L3_01,278.8,94.15,94.15
242.1,harvest,mon_L3_00,281.0,126.03,0.01
242.1,harvest,mon_L3_01,279.5,94.18,94.18
244.1,harvest,mon_L3_00,280.8,125.81,0.01
244.1,harvest,mon_L3_01,279.4,94.24,94.24
246.1,harvest,mon_L3_00,281.1,125.93,0.01
246.1,harvest,mon_L3_01,278.2,94.19,94.19
248.1,harvest,mon_L3_00,276.7,125.63,0.01
248.1,harvest,mon_L3_01,280.3,94.28,94.28
250.1,harvest,mon_L3_00,279.6,125.80,0.00
250.1,harvest,mon_L3_01,278.7,94.36,94.36
252.1,harvest,mon_L3_00,276.9,125.90,0.01
252.1,harvest,mon_L3_01,276.2,94.21,94.21
254.1,harvest,mon_L3_00,279.0,125.74,0.01
254.1,harvest,mon_L3_01,277.1,94.20,94.20
256.1,harvest,mon_L3_00,268.9,126.18,0.01
256.1,harvest,mon_L3_01,277.1,94.11,94.11
258.1,harvest,mon_L3_00,274.6,126.24,0.00
258.1,harvest,mon_L3_01,280.5,94.07,94.07
260.1,harvest,mon_L3_00,278.2,126.39,0.01
260.1,harvest,mon_L3_01,277.0,94.03,94.03
262.1,harvest,mon_L3_00,280.1,126.80,0.01
262.1,harvest,mon_L3_01,283.0,94.11,94.10
264.1,harvest,mon_L3_00,276.3,126.38,0.01
264.1,harvest,mon_L3_01,277.0,93.70,93.70
266.1,harvest,mon_L3_00,280.8,126.29,0.01
266.1,harvest,mon_L3_01,283.1,93.90,93.89
268.1,harvest,mon_L3_00,280.0,126.33,0.01
268.1,harvest,mon_L3_01,282.2,93.92,93.92
270.1,harvest,mon_L3_00,273.5,126.40,0.01
270.1,harvest,mon_L3_01,281.0,93.70,93.70
272.1,harvest,mon_L3_00,272.2,127.54,0.01
272.1,harvest,mon_L3_01,282.2,92.90,92.90
274.1,harvest,mon_L3_00,282.8,126.48,0.01
274.1,harvest,mon_L3_01,282.9,93.67,93.66
276.1,harvest,mon_L3_00,279.3,127.09,0.01
276.1,harvest,mon_L3_01,280.0,93.50,93.50
278.1,harvest,mon_L3_00,279.3,127.12,0.01
278.1,harvest,mon_L3_01,278.9,93.26,93.26
280.1,harvest,mon_L3_00,278.7,126.28,0.01
280.1,harvest,mon_L3_01,282.0,93.96,93.96
282.1,harvest,mon_L3_00,272.0,126.18,0.01
282.1,harvest,mon_L3_01,268.2,93.97,93.97
284.1,harvest,mon_L3_00,276.9,126.21,0.01
284.1,harvest,mon_L3_01,273.0,94.03,94.03
286.1,harvest,mon_L3_00,276.2,126.10,0.01
286.1,harvest,mon_L3_01,284.2,94.08,94.08
288.1,harvest,mon_L3_00,277.5,126.56,0.01
288.1,harvest,mon_L3_01,281.2,93.11,93.11
290.1,harvest,mon_L3_00,278.1,126.71,0.01
290.1,harvest,mon_L3_01,277.7,93.33,93.33
292.1,harvest,mon_L3_00,282.5,126.92,0.02
292.1,harvest,mon_L3_01,279.7,93.25,93.25
294.1,harvest,mon_L3_00,278.0,126.34,0.01
294.1,harvest,mon_L3_01,276.7,93.37,93.37
296.1,harvest,mon_L3_00,278.6,126.75,0.01
296.1,harvest,mon_L3_01,280.3,93.38,93.38
298.1,harvest,mon_L3_00,280.2,126.77,0.01
298.1,harvest,mon_L3_01,274.8,93.24,93.24
300.1,harvest,mon_L3_00,273.9,126.76,0.01
300.1,harvest,mon_L3_01,282.3,93.15,93.15
302.1,harvest,mon_L3_00,273.6,127.07,0.01
302.1,harvest,mon_L3_01,280.3,93.06,93.06
304.1,harvest,mon_L3_00,274.0,126.73,0.01
304.1,harvest,mon_L3_01,278.8,93.27,93.27
306.1,harvest,mon_L3_00,278.3,126.37,0.01
306.1,harvest,mon_L3_01,278.1,93.45,93.45
308.1,harvest,mon_L3_00,278.4,125.70,0.01
308.1,harvest,mon_L3_01,280.4,94.09,94.09
310.1,harvest,mon_L3_00,280.7,125.68,0.01
310.1,harvest,mon_L3_01,277.3,94.08,94.08
312.1,harvest,mon_L3_00,278.0,125.79,0.01
312.1,harvest,mon_L3_01,283.9,94.05,94.05
314.1,harvest,mon_L3_00,282.7,125.70,0.01
314.1,harvest,mon_L3_01,280.7,94.12,94.12
316.1,harvest,mon_L3_00,273.9,125.72,0.01
316.1,harvest,mon_L3_01,276.1,94.09,94.09
318.1,harvest,mon_L3_00,276.0,125.68,0.01
318.1,harvest,mon_L3_01,274.8,94.08,94.08
320.1,harvest,mon_L3_00,283.7,125.63,0.01
320.1,harvest,mon_L3_01,279.0,94.20,94.20
