ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
100.0,harvest,mon_L3_00,281.6,69.18,7.55
100.0,harvest,mon_L3_01,275.2,86.13,86.13
102.0,harvest,mon_L3_00,273.9,69.22,7.56
102.0,harvest,mon_L3_01,278.4,86.00,86.00
104.0,harvest,mon_L3_00,276.2,69.13,7.51
104.0,harvest,mon_L3_01,281.5,85.68,85.68
106.0,harvest,mon_L3_00,281.4,68.99,7.56
106.0,harvest,mon_L3_01,279.6,85.86,85.86
108.0,harvest,mon_L3_00,275.5,69.09,7.59
108.0,harvest,mon_L3_01,279.0,85.69,85.69
110.0,harvest,mon_L3_00,278.6,69.14,7.55
110.0,harvest,mon_L3_01,281.5,85.79,85.79
112.0,harvest,mon_L3_00,275.7,69.10,7.68
112.0,harvest,mon_L3_01,283.9,85.99,85.98
114.0,harvest,mon_L3_00,272.3,69.39,7.43
114.0,harvest,mon_L3_01,282.3,86.04,86.04
116.0,harvest,mon_L3_00,272.2,69.19,7.56
116.0,harvest,mon_L3_01,282.5,85.91,85.91
118.0,harvest,mon_L3_00,276.1,69.32,7.46
118.0,harvest,mon_L3_01,279.0,85.78,85.78
120.0,harvest,mon_L3_00,267.7,69.33,7.63
120.0,harvest,mon_L3_01,279.3,85.44,85.44
122.0,harvest,mon_L3_00,262.1,69.14,7.58
122.0,harvest,mon_L3_01,279.6,85.08,85.08
124.0,harvest,mon_L3_00,267.8,69.22,7.61
124.0,harvest,mon_L3_01,283.7,85.57,85.57
126.0,harvest,mon_L3_00,268.5,69.33,7.57
126.0,harvest,mon_L3_01,285.2,85.51,85.51
128.0,harvest,mon_L3_00,262.7,69.14,7.59
128.0,harvest,mon_L3_01,280.9,85.35,85.35
130.0,harvest,mon_L3_00,267.4,69.25,7.43
130.0,harvest,mon_L3_01,279.1,85.33,85.33
132.0,harvest,mon_L3_00,261.4,69.23,7.50
132.0,harvest,mon_L3_01,279.5,85.32,85.32
134.0,harvest,mon_L3_00,270.4,69.34,7.57
134.0,harvest,mon_L3_01,281.4,85.41,85.41
136.0,harvest,mon_L3_00,270.5,69.41,7.51
136.0,harvest,mon_L3_01,280.1,85.35,85.35
138.0,harvest,mon_L3_00,267.3,69.41,7.44
138.0,harvest,mon_L3_01,282.3,85.31,85.31
140.0,harvest,mon_L3_00,275.4,69.17,7.58
140.0,harvest,mon_L3_01,281.8,85.82,85.82
142.0,harvest,mon_L3_00,269.9,69.28,7.54
142.0,harvest,mon_L3_01,284.2,85.77,85.77
144.0,harvest,mon_L3_00,269.5,69.09,7.44
144.0,harvest,mon_L3_01,274.1,85.85,85.85
146.0,harvest,mon_L3_00,275.2,69.11,7.51
146.0,harvest,mon_L3_01,279.1,85.77,85.77
148.0,harvest,mon_L3_00,274.0,69.26,7.45
148.0,harvest,mon_L3_01,279.5,85.80,85.80
150.0,harvest,mon_L3_00,277.1,69.20,7.52
150.0,harvest,mon_L3_01,279.0,85.79,85.79
152.0,harvest,mon_L3_00,270.4,69.07,7.60
152.0,harvest,mon_L3_01,282.8,85.93,85.93
154.0,harvest,mon_L3_00,273.3,69.13,7.56
154.0,harvest,mon_L3_01,282.4,85.78,85.78
156.0,harvest,mon_L3_00,266.8,69.11,7.57
156.0,harvest,mon_L3_01,279.5,85.70,85.70
158.0,harvest,mon_L3_00,277.4,69.11,7.52
158.0,harvest,mon_L3_01,278.0,85.71,85.71
160.0,harvest,mon_L3_00,278.4,69.11,7.55
160.0,harvest,mon_L3_01,277.1,86.12,86.12
162.0,harvest,mon_L3_00,266.1,69.47,7.53
162.0,harvest,mon_L3_01,279.6,85.65,85.65
164.0,harvest,mon_L3_00,266.2,69.36,7.48
164.0,harvest,mon_L3_01,281.6,85.27,85.27
166.0,harvest,mon_L3_00,277.9,69.18,7.58
166.0,harvest,mon_L3_01,280.9,85.91,85.91
168.0,harvest,mon_L3_00,272.8,69.34,7.52
168.0,harvest,mon_L3_01,277.0,85.80,85.80
170.0,harvest,mon_L3_00,276.7,69.31,7.54
170.0,harvest,mon_L3_01,278.8,85.88,85.88
172.0,harvest,mon_L3_00,271.4,69.28,7.60
172.0,harvest,mon_L3_01,280.0,85.79,85.79
174.0,harvest,mon_L3_00,266.6,69.28,7.46
174.0,harvest,mon_L3_01,281.6,85.56,85.56
176.0,harvest,mon_L3_00,268.9,69.31,7.59
176.0,harvest,mon_L3_01,277.3,85.59,85.59
178.0,harvest,mon_L3_00,276.3,69.28,7.56
178.0,harvest,mon_L3_01,279.8,85.82,85.82
180.0,harvest,mon_L3_00,275.9,69.19,7.60
180.0,harvest,mon_L3_01,279.6,86.00,86.00
182.0,harvest,mon_L3_00,274.8,69.17,7.56
182.0,harvest,mon_L3_01,278.2,85.91,85.91
184.0,harvest,mon_L3_00,258.4,69.19,7.53
184.0,harvest,mon_L3_01,266.0,85.41,85.41
186.0,harvest,mon_L3_00,278.2,69.04,7.46
186.0,harvest,mon_L3_01,279.1,85.20,85.20
188.0,harvest,mon_L3_00,275.9,69.18,7.52
188.0,harvest,mon_L3_01,280.1,85.83,85.83
190.0,harvest,mon_L3_00,279.0,69.13,7.61
190.0,harvest,mon_L3_01,278.1,86.12,86.12
192.0,harvest,mon_L3_00,264.7,69.24,7.46
192.0,harvest,mon_L3_01,265.7,85.84,85.84
194.0,harvest,mon_L3_00,267.7,69.17,7.48
194.0,harvest,mon_L3_01,282.3,85.92,85.91
196.0,harvest,mon_L3_00,279.7,69.21,7.53
196.0,harvest,mon_L3_01,280.9,85.78,85.79
198.0,harvest,mon_L3_00,267.7,69.29,7.52
198.0,harvest,mon_L3_01,277.7,85.81,85.81
200.0,harvest,mon_L3_00,271.5,69.00,7.54
200.0,harvest,mon_L3_01,282.0,85.29,85.29
202.0,harvest,mon_L3_00,271.9,69.13,7.50
202.0,harvest,mon_L3_01,281.5,85.29,85.29
204.0,harvest,mon_L3_00,267.4,69.34,7.51
204.0,harvest,mon_L3_01,280.3,85.30,85.30
206.0,harvest,mon_L3_00,265.4,69.30,7.63
206.0,harvest,mon_L3_01,278.9,85.46,85.46
208.0,harvest,mon_L3_00,266.8,69.23,7.67
208.0,harvest,mon_L3_01,280.3,85.59,85.59
210.0,harvest,mon_L3_00,268.9,69.28,7.59
210.0,harvest,mon_L3_01,275.7,85.66,85.67
212.0,harvest,mon_L3_00,269.5,69.32,7.56
212.0,harvest,mon_L3_01,277.1,85.52,85.52
214.0,harvest,mon_L3_00,267.7,69.50,7.49
214.0,harvest,mon_L3_01,278.4,85.36,85.36
216.0,harvest,mon_L3_00,262.4,69.47,7.56
216.0,harvest,mon_L3_01,280.4,85.56,85.56
218.0,harvest,mon_L3_00,270.0,69.35,7.61
218.0,harvest,mon_L3_01,281.0,85.48,85.48
220.0,harvest,mon_L3_00,272.2,69.56,7.50
220.0,harvest,mon_L3_01,282.5,85.99,85.99
222.0,harvest,mon_L3_00,272.6,69.38,7.55
222.0,harvest,mon_L3_01,280.3,85.86,85.86
224.0,harvest,mon_L3_00,278.7,69.43,7.54
224.0,harvest,mon_L3_01,277.1,85.97,85.97
226.0,harvest,mon_L3_00,277.6,69.44,7.50
226.0,harvest,mon_L3_01,280.4,85.95,85.95
228.0,harvest,mon_L3_00,279.7,69.49,7.56
228.0,harvest,mon_L3_01,277.0,86.26,86.26
230.0,harvest,mon_L3_00,273.4,69.12,7.49
230.0,harvest,mon_L3_01,280.3,86.13,86.13
232.0,harvest,mon_L3_00,273.6,69.34,7.55
232.0,harvest,mon_L3_01,280.7,86.31,86.31
234.0,harvest,mon_L3_00,275.4,69.39,7.70
234.0,harvest,mon_L3_01,276.8,86.26,86.26
236.1,harvest,mon_L3_00,275.5,69.41,7.41
236.1,harvest,mon_L3_01,274.6,86.25,86.25
238.1,harvest,mon_L3_00,275.7,69.49,7.57
238.1,harvest,mon_L3_01,271.6,86.15,86.15
240.1,harvest,mon_L3_00,274.5,69.42,7.61
240.1,harvest,mon_L3_01,274.1,86.19,86.19
242.1,harvest,mon_L3_00,272.6,69.74,7.49
242.1,harvest,mon_L3_01,271.8,86.17,86.17
244.1,harvest,mon_L3_00,266.5,69.68,7.55
244.1,harvest,mon_L3_01,272.3,86.05,86.05
246.1,harvest,mon_L3_00,266.8,69.68,7.57
246.1,harvest,mon_L3_01,271.8,86.02,86.02
248.1,harvest,mon_L3_00,276.4,69.57,7.50
248.1,harvest,mon_L3_01,288.9,85.85,85.85
250.1,harvest,mon_L3_00,276.0,69.21,7.67
250.1,harvest,mon_L3_01,276.4,86.01,86.01
252.1,harvest,mon_L3_00,267.2,69.02,7.66
252.1,harvest,mon_L3_01,278.0,85.95,85.95
254.1,harvest,mon_L3_00,274.5,69.23,7.52
254.1,harvest,mon_L3_01,278.8,85.87,85.87
256.1,harvest,mon_L3_00,280.8,69.27,7.61
256.1,harvest,mon_L3_01,283.6,85.84,85.83
258.1,harvest,mon_L3_00,279.1,69.24,7.50
258.1,harvest,mon_L3_01,282.3,85.99,85.99
260.1,harvest,mon_L3_00,275.4,69.14,7.59
260.1,harvest,mon_L3_01,277.7,86.22,86.22
262.1,harvest,mon_L3_00,275.2,69.11,7.54
262.1,harvest,mon_L3_01,279.1,86.11,86.11
264.1,harvest,mon_L3_00,281.6,69.21,7.46
264.1,harvest,mon_L3_01,279.5,86.22,86.22
266.1,harvest,mon_L3_00,278.3,69.02,7.65
266.1,harvest,mon_L3_01,280.4,86.20,86.20
268.1,harvest,mon_L3_00,275.0,69.40,7.53
268.1,harvest,mon_L3_01,281.5,85.92,85.92
270.1,harvest,mon_L3_00,282.8,69.12,7.47
270.1,harvest,mon_L3_01,280.0,86.18,86.18
272.1,harvest,mon_L3_00,276.7,69.19,7.54
272.1,harvest,mon_L3_01,274.0,85.97,85.97
274.1,harvest,mon_L3_00,266.7,69.19,7.61
274.1,harvest,mon_L3_01,281.1,85.97,85.97
276.1,harvest,mon_L3_00,280.3,69.17,7.54
276.1,harvest,mon_L3_01,281.6,85.92,85.92
278.1,harvest,mon_L3_00,280.8,69.02,7.46
278.1,harvest,mon_L3_01,279.6,86.21,86.21
280.1,harvest,mon_L3_00,275.9,68.94,7.64
280.1,harvest,mon_L3_01,275.7,86.02,86.02
282.1,harvest,mon_L3_00,271.8,69.08,7.49
282.1,harvest,mon_L3_01,278.0,86.05,86.05
284.1,harvest,mon_L3_00,269.6,69.21,7.52
284.1,harvest,mon_L3_01,277.1,85.37,85.37
286.1,harvest,mon_L3_00,277.9,69.28,7.55
286.1,harvest,mon_L3_01,279.3,85.25,85.25
288.1,harvest,mon_L3_00,271.8,69.12,7.62
288.1,harvest,mon_L3_01,276.2,85.31,85.32
290.1,harvest,mon_L3_00,267.8,69.21,7.48
290.1,harvest,mon_L3_01,280.1,85.01,85.01
292.1,harvest,mon_L3_00,276.1,69.29,7.44
292.1,harvest,mon_L3_01,280.0,85.37,85.37
294.1,harvest,mon_L3_00,273.5,69.25,7.46
294.1,harvest,mon_L3_01,278.4,85.72,85.72
296.1,harvest,mon_L3_00,277.0,68.88,7.62
296.1,harvest,mon_L3_01,279.0,85.63,85.62
298.1,harvest,mon_L3_00,273.2,68.91,7.44
298.1,harvest,mon_L3_01,275.6,85.42,85.43
300.1,harvest,mon_L3_00,272.0,69.26,7.57
300.1,harvest,mon_L3_01,277.5,85.40,85.40
302.1,harvest,mon_L3_00,272.9,69.30,7.61
302.1,harvest,mon_L3_01,279.7,85.49,85.49
304.1,harvest,mon_L3_00,279.5,69.14,7.46
304.1,harvest,mon_L3_01,276.1,85.59,85.59
306.1,harvest,mon_L3_00,277.9,69.01,7.55
306.1,harvest,mon_L3_01,274.5,85.82,85.82
308.1,harvest,mon_L3_00,275.2,69.19,7.53
308.1,harvest,mon_L3_01,279.5,86.11,86.11
310.1,harvest,mon_L3_00,270.6,69.29,7.50
310.1,harvest,mon_L3_01,278.4,85.40,85.40
312.1,harvest,mon_L3_00,263.6,69.13,7.49
312.1,harvest,mon_L3_01,265.3,85.91,85.91
314.1,harvest,mon_L3_00,275.0,69.35,7.37
314.1,harvest,mon_L3_01,278.9,86.00,86.00
316.1,harvest,mon_L3_00,279.3,69.17,7.53
316.1,harvest,mon_L3_01,274.2,85.82,85.82
318.1,harvest,mon_L3_00,278.4,69.09,7.61
318.1,harvest,mon_L3_01,276.8,85.95,85.95
320.1,harvest,mon_L3_00,279.4,69.18,7.55
