ts,group,domain,llc_occ_MB,mbm_total_GBps,mbm_local_GBps
100.0,harvest,mon_L3_00,270.1,12.37,0.64
100.0,harvest,mon_L3_01,254.9,11.05,11.05
102.0,harvest,mon_L3_00,273.9,12.35,0.67
102.0,harvest,mon_L3_01,258.2,11.09,11.09
104.0,harvest,mon_L3_00,263.9,12.33,0.66
104.0,harvest,mon_L3_01,261.8,11.10,11.10
106.0,harvest,mon_L3_00,271.3,12.29,0.68
106.0,harvest,mon_L3_01,261.3,11.08,11.07
108.0,harvest,mon_L3_00,272.0,12.37,0.65
108.0,harvest,mon_L3_01,258.9,11.07,11.07
110.0,harvest,mon_L3_00,265.9,12.37,0.63
110.0,harvest,mon_L3_01,261.9,11.13,11.13
112.0,harvest,mon_L3_00,269.8,12.36,0.64
112.0,harvest,mon_L3_01,259.6,11.11,11.11
114.0,harvest,mon_L3_00,272.7,12.39,0.67
114.0,harvest,mon_L3_01,266.6,11.11,11.11
116.0,harvest,mon_L3_00,271.5,12.34,0.64
116.0,harvest,mon_L3_01,258.8,11.09,11.09
118.0,harvest,mon_L3_00,262.7,12.34,0.66
118.0,harvest,mon_L3_01,257.8,11.14,11.14
120.0,harvest,mon_L3_00,267.5,12.33,0.66
120.0,harvest,mon_L3_01,261.9,11.12,11.12
122.0,harvest,mon_L3_00,273.9,12.34,0.63
122.0,harvest,mon_L3_01,258.0,11.10,11.10
124.0,harvest,mon_L3_00,272.7,12.31,0.62
124.0,harvest,mon_L3_01,256.4,11.11,11.11
126.0,harvest,mon_L3_00,255.2,12.34,0.65
126.0,harvest,mon_L3_01,259.6,11.13,11.13
128.0,harvest,mon_L3_00,262.9,12.37,0.64
128.0,harvest,mon_L3_01,251.1,11.13,11.13
130.0,harvest,mon_L3_00,258.0,12.35,0.63
130.0,harvest,mon_L3_01,260.3,11.10,11.10
132.0,harvest,mon_L3_00,261.4,12.38,0.65
132.0,harvest,mon_L3_01,259.9,11.11,11.11
134.0,harvest,mon_L3_00,259.6,12.38,0.63
134.0,harvest,mon_L3_01,255.2,11.08,11.08
136.0,harvest,mon_L3_00,255.2,12.38,0.63
136.0,harvest,mon_L3_01,261.6,11.10,11.10
138.0,harvest,mon_L3_00,258.2,12.42,0.64
138.0,harvest,mon_L3_01,256.5,11.10,11.10
140.0,harvest,mon_L3_00,260.7,12.39,0.66
140.0,harvest,mon_L3_01,264.6,11.10,11.10
142.0,harvest,mon_L3_00,269.3,12.39,0.68
142.0,harvest,mon_L3_01,267.8,11.05,11.04
144.0,harvest,mon_L3_00,260.0,12.35,0.67
144.0,harvest,mon_L3_01,251.8,11.06,11.06
146.0,harvest,mon_L3_00,266.4,12.31,0.65
146.0,harvest,mon_L3_01,257.7,11.03,11.03
148.0,harvest,mon_L3_00,275.2,12.27,0.65
148.0,harvest,mon_L3_01,256.2,11.07,11.07
150.0,harvest,mon_L3_00,274.0,12.33,0.65
150.0,harvest,mon_L3_01,259.9,11.08,11.08
152.0,harvest,mon_L3_00,276.6,12.37,0.65
152.0,harvest,mon_L3_01,265.5,11.09,11.09
154.0,harvest,mon_L3_00,262.9,12.40,0.65
154.0,harvest,mon_L3_01,254.3,11.05,11.05
156.0,harvest,mon_L3_00,268.1,12.38,0.63
156.0,harvest,mon_L3_01,254.5,11.11,11.11
