timestamp,elapsed_s,gpu0_util_pct,gpu0_mem_util_pct,gpu0_mem_used_mb,gpu0_power_w,gpu0_temp_c,gpu_avg_util_pct,gpu_avg_mem_util_pct,gpu_avg_power_w
2026-04-15 22:38:54.012,1.9,0.0,0.0,21472.0,52.89,40.0,0.0,0.0,52.89
2026-04-15 22:38:56.037,3.925,0.0,0.0,21472.0,50.15,40.0,0.0,0.0,50.15
2026-04-15 22:38:58.061,5.949,0.0,0.0,21472.0,47.9,39.0,0.0,0.0,47.9
2026-04-15 22:39:00.095,7.983,0.0,0.0,21472.0,48.13,39.0,0.0,0.0,48.13
2026-04-15 22:39:02.127,10.015,0.0,0.0,21472.0,55.86,39.0,0.0,0.0,55.86
2026-04-15 22:39:04.159,12.047,0.0,0.0,21472.0,47.35,39.0,0.0,0.0,47.35
2026-04-15 22:39:06.183,14.071,0.0,0.0,21472.0,46.95,39.0,0.0,0.0,46.95
2026-04-15 22:39:08.206,16.094,0.0,0.0,21472.0,50.96,39.0,0.0,0.0,50.96
2026-04-15 22:39:10.229,18.117,0.0,0.0,21472.0,48.17,39.0,0.0,0.0,48.17
2026-04-15 22:39:12.252,20.14,0.0,0.0,21472.0,47.16,39.0,0.0,0.0,47.16
2026-04-15 22:39:14.270,22.158,0.0,0.0,21472.0,160.0,43.0,0.0,0.0,160.0
2026-04-15 22:39:16.290,24.178,0.0,0.0,21472.0,175.41,45.0,0.0,0.0,175.41
2026-04-15 22:39:18.309,26.197,0.0,0.0,21472.0,145.36,44.0,0.0,0.0,145.36
2026-04-15 22:39:20.327,28.215,0.0,0.0,21472.0,145.18,44.0,0.0,0.0,145.18
