
NOTICE: Existing SQLite export found: /workspace/vllm_hybrid/eval/results/20260516_183037_v16_timeline_nsys/v16_timeline.sqlite
        It is assumed file was previously exported from: /workspace/vllm_hybrid/eval/results/20260516_183037_v16_timeline_nsys/v16_timeline.nsys-rep
        Consider using --force-export=true if needed.

Processing [/workspace/vllm_hybrid/eval/results/20260516_183037_v16_timeline_nsys/v16_timeline.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

+----------+-----------------+-----------+--------------+-------------+----------+-------------+--------------+--------------------------------------------+
| Time (%) | Total Time (ns) | Num Calls |   Avg (ns)   |  Med (ns)   | Min (ns) |  Max (ns)   | StdDev (ns)  |                    Name                    |
+----------+-----------------+-----------+--------------+-------------+----------+-------------+--------------+--------------------------------------------+
|     84.8 |    259598705675 |        96 | 2704153184.1 | 238245756.0 |     7030 | 31023428977 | 8577076038.9 | cudaHostAlloc                              |
|      9.8 |     30066933741 |     21313 |    1410732.1 |   1322477.0 |     3844 |   235801694 |    1800718.0 | cudaEventSynchronize                       |
|      2.7 |      8122704462 |   1099738 |       7386.0 |      5362.0 |     3745 |    78506203 |     230296.7 | cudaLaunchKernel                           |
|      0.7 |      2018103646 |    213950 |       9432.6 |      8379.0 |     4025 |     1143463 |      24677.0 | cuLaunchKernelEx                           |
|      0.6 |      1897198316 |    168296 |      11273.0 |     12278.0 |     3180 |      816416 |       6801.8 | cudaMemcpyAsync                            |
|      0.2 |       672880840 |     86456 |       7782.9 |      7378.0 |     4057 |      535735 |       5510.2 | cuLaunchKernel                             |
|      0.2 |       656927797 |       705 |     931812.5 |    776651.0 |   125688 |     4043456 |     623829.7 | cudaMalloc                                 |
|      0.2 |       626779006 |     64640 |       9696.5 |      8458.5 |     2934 |      668530 |      20871.4 | cudaMemsetAsync                            |
|      0.2 |       615308953 |    125928 |       4886.2 |      3916.0 |     1825 |     4239173 |      27468.8 | cudaEventRecordWithFlags_v11010            |
|      0.1 |       427485968 |     88052 |       4854.9 |      4922.0 |     2153 |      267785 |       3550.0 | cudaEventRecord                            |
|      0.1 |       371452358 |    191132 |       1943.4 |      1372.0 |      603 |      286536 |       1818.3 | cudaStreamWaitEvent                        |
|      0.1 |       261218602 |    125424 |       2082.7 |      1636.0 |      588 |     1279589 |       9951.9 | cudaEventCreateWithFlags                   |
|      0.1 |       244122197 |    377273 |        647.1 |       497.0 |      365 |      188649 |        797.6 | cudaStreamIsCapturing_v10000               |
|      0.1 |       213058448 |     21016 |      10137.9 |      9850.0 |     5271 |      113451 |       2414.0 | cudaStreamSynchronize                      |
|      0.0 |       150384197 |    125416 |       1199.1 |      1253.0 |      460 |      108471 |       1287.6 | cudaEventDestroy                           |
|      0.0 |        75726266 |    340112 |        222.7 |       176.0 |       79 |      196611 |        641.6 | cuKernelGetAttribute                       |
|      0.0 |        65637636 |     43631 |       1504.4 |      1489.0 |      549 |      192709 |       1312.8 | cudaStreamGetCaptureInfo_v2_v11030         |
|      0.0 |        47096816 |    114160 |        412.6 |       188.0 |      150 |      149920 |        734.1 | cuTensorMapEncodeTiled                     |
|      0.0 |        27710889 |     43630 |        635.1 |       614.0 |      176 |       47637 |        633.0 | cudaGetFuncBySymbol_v11000                 |
|      0.0 |        10345093 |      1280 |       8082.1 |      7461.0 |     6425 |       35461 |       2309.9 | cudaLaunchKernelExC_v11060                 |
|      0.0 |         8595065 |       112 |      76741.7 |     47473.5 |      871 |      255027 |      85142.7 | cuKernelSetAttribute                       |
|      0.0 |         8474565 |      1583 |       5353.5 |      5589.0 |     1910 |       89554 |       4459.9 | cudaEventQuery                             |
|      0.0 |         7816780 |        50 |     156335.6 |    130703.5 |   111815 |      336371 |      52776.0 | cudaFree                                   |
|      0.0 |         6826267 |        40 |     170656.7 |    151372.0 |   119572 |      263908 |      45755.3 | cuModuleLoad                               |
|      0.0 |         4204862 |        56 |      75086.8 |     77113.0 |    42542 |      149957 |      21997.9 | cuLibraryLoadData                          |
|      0.0 |          706404 |       574 |       1230.7 |      1048.5 |      378 |       25289 |       1285.4 | cudaThreadExchangeStreamCaptureMode_v10010 |
|      0.0 |           24582 |        56 |        439.0 |       433.5 |      293 |         740 |         93.9 | cuLibraryGetKernel                         |
+----------+-----------------+-----------+--------------+-------------+----------+-------------+--------------+--------------------------------------------+

