
NOTICE: Existing SQLite export found: /workspace/vllm_hybrid/eval/results/20260516_183037_v16_timeline_nsys/v16_timeline.sqlite
        It is assumed file was previously exported from: /workspace/vllm_hybrid/eval/results/20260516_183037_v16_timeline_nsys/v16_timeline.nsys-rep
        Consider using --force-export=true if needed.

Processing [/workspace/vllm_hybrid/eval/results/20260516_183037_v16_timeline_nsys/v16_timeline.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

+----------+-----------------+-----------+---------------+---------------+-------------+-------------+--------------+------------------------+
| Time (%) | Total Time (ns) | Num Calls |   Avg (ns)    |   Med (ns)    |  Min (ns)   |  Max (ns)   | StdDev (ns)  |          Name          |
+----------+-----------------+-----------+---------------+---------------+-------------+-------------+--------------+------------------------+
|     30.0 |   2006656546210 |     34629 |    57947285.4 |   100045627.0 |        1004 | 26179983396 |  168822726.6 | pthread_cond_timedwait |
|     27.3 |   1824457137517 |     36010 |    50665291.2 |    10061168.0 |        1010 |  3214504573 |  135621852.1 | poll                   |
|     25.5 |   1708033415503 |    147091 |    11612086.5 |    10062095.0 |        1035 |   759024105 |   29001470.8 | epoll_wait             |
|      6.7 |    450005789351 |        45 | 10000128652.2 | 10000124880.0 | 10000077937 | 10000308412 |      31049.5 | sem_clockwait          |
|      4.7 |    315104265551 |      3857 |    81696724.3 |       72524.0 |        1105 | 27178712710 | 1245378608.0 | ioctl                  |
|      3.0 |    201370542861 |     41930 |     4802541.0 |     4121193.0 |       75654 |   757583784 |   27129094.8 | sem_wait               |
|      2.3 |    151171509561 |      1948 |    77603444.3 |        5298.0 |        1029 | 25742093494 | 1396261965.0 | recv                   |
|      0.5 |     30572191300 |       152 |   201132837.5 |   137241658.0 |        1015 |   649892285 |  234364857.2 | epoll_pwait            |
|      0.0 |       372544833 |     89839 |        4146.8 |        3688.0 |        2602 |      705510 |       3616.3 | mmap64                 |
|      0.0 |       245062443 |     90019 |        2722.3 |        2087.0 |        1326 |      489063 |       4769.4 | munmap                 |
|      0.0 |        82065191 |     23019 |        3565.1 |        2831.0 |        1000 |      192555 |       2570.1 | lstat64                |
|      0.0 |        68605528 |     20001 |        3430.1 |        1504.0 |        1000 |      587346 |       7745.8 | pthread_cond_signal    |
|      0.0 |        32028407 |        80 |      400355.1 |      417921.5 |      275135 |      556766 |      64105.7 | pthread_create         |
|      0.0 |        30957128 |      1979 |       15642.8 |        9927.0 |        2060 |      174970 |      14489.0 | send                   |
|      0.0 |        30343532 |      6144 |        4938.7 |        3877.5 |        1603 |       47432 |       3239.2 | stat64                 |
|      0.0 |        19166946 |        61 |      314212.2 |       78544.0 |       13286 |     1260845 |     393469.2 | pthread_rwlock_wrlock  |
|      0.0 |        17621974 |       643 |       27405.9 |       22086.0 |        1001 |      460992 |      49156.5 | pthread_mutex_lock     |
|      0.0 |        14996080 |      2550 |        5880.8 |        1992.5 |        1000 |      276033 |      21119.3 | read                   |
|      0.0 |        13595512 |      1465 |        9280.2 |        5534.0 |        1000 |      466433 |      15896.6 | write                  |
|      0.0 |         6757971 |       364 |       18565.9 |       15522.5 |        5917 |      400671 |      21466.3 | mmap                   |
|      0.0 |         5040541 |       584 |        8631.1 |        7407.5 |        2768 |       38038 |       4463.1 | open64                 |
|      0.0 |         1560566 |        40 |       39014.2 |       33504.5 |       16271 |      104782 |      22711.5 | pthread_rwlock_rdlock  |
|      0.0 |          941148 |        22 |       42779.5 |       30330.0 |       23627 |      100527 |      24209.1 | connect                |
|      0.0 |          858565 |       554 |        1549.8 |        1412.5 |        1000 |       12545 |        741.6 | epoll_ctl              |
|      0.0 |          783544 |       488 |        1605.6 |        1376.5 |        1001 |       12783 |        918.2 | fstat64                |
|      0.0 |          482913 |        28 |       17246.9 |       13805.0 |        1015 |       49431 |      11495.7 | shutdown               |
|      0.0 |          452650 |       135 |        3353.0 |        2302.0 |        1029 |       18795 |       2868.9 | pthread_cond_broadcast |
|      0.0 |          337550 |        22 |       15343.2 |       12818.0 |        6667 |       35354 |       8664.6 | accept                 |
|      0.0 |          298689 |        40 |        7467.2 |        6755.5 |        5806 |       12942 |       1839.1 | fopen                  |
|      0.0 |          183196 |        40 |        4579.9 |        4540.5 |        3358 |        6719 |        726.4 | fread                  |
|      0.0 |          163160 |        23 |        7093.9 |        5122.0 |        3164 |       17098 |       4337.6 | socket                 |
|      0.0 |          105175 |        40 |        2629.4 |        2393.5 |        2019 |        4288 |        581.7 | fclose                 |
|      0.0 |           68022 |         2 |       34011.0 |       34011.0 |       33709 |       34313 |        427.1 | pthread_cond_wait      |
|      0.0 |           10054 |         8 |        1256.8 |        1150.0 |        1011 |        1781 |        268.6 | fcntl                  |
+----------+-----------------+-----------+---------------+---------------+-------------+-------------+--------------+------------------------+

