session,output_tps,duration_s,throughput_ratio,elapsed_ratio,completed,failed
D0,676.1269014440105,24.232137436047196,,,128,0
D2,686.3251568615597,23.87206681293901,,,128,0
D3,686.756082322431,23.857087576994672,1.015720689201568,0.984522625788074,128,0
D1,703.7501637598164,23.28098925400991,1.0408551445842646,0.9607484818643204,128,0
