# pid tid psr comm affinity
3516624 3518055 200 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516624 3518066 48 VLLM::Worker ffffffffffffff00000000000000ffffffffffffff
3516624 3518067 55 VLLM::Worker ffffffffffffff00000000000000ffffffffffffff
3516624 3518228 88 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516624 3518248 205 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516624 3518262 207 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516624 3518276 98 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516624 3518304 221 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516624 3518489 80 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516624 3519278 58 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516624 3519283 196 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516624 3519797 152 VLLM::Worker_TP ffffffffffffff00000000000000ffffffffffffff
3516624 3519798 2 VLLM::Worker_TP ffffffffffffff00000000000000ffffffffffffff
3516624 3520075 76 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3516625 198 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3517858 204 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3517885 180 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3518057 90 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3518070 49 VLLM::Worker ffffffffffffff00000000000000ffffffffffffff
3516625 3518071 49 VLLM::Worker ffffffffffffff00000000000000ffffffffffffff
3516625 3518229 184 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3518249 188 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3518269 221 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3518289 172 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3518538 94 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3519288 60 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3519293 109 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516625 3519801 146 VLLM::Worker_TP ffffffffffffff00000000000000ffffffffffffff
3516625 3519802 150 VLLM::Worker_TP ffffffffffffff00000000000000ffffffffffffff
3516625 3520072 209 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3516626 210 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3517863 214 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3517888 107 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3518026 99 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3518068 12 VLLM::Worker ffffffffffffff00000000000000ffffffffffffff
3516626 3518069 9 VLLM::Worker ffffffffffffff00000000000000ffffffffffffff
3516626 3518230 185 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3518250 73 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3518271 73 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3518290 214 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3518469 221 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3519270 177 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3519275 63 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516626 3519803 130 VLLM::Worker_TP ffffffffffffff00000000000000ffffffffffffff
3516626 3519804 0 VLLM::Worker_TP ffffffffffffff00000000000000ffffffffffffff
3516626 3520073 106 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3516627 70 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3517833 93 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3517887 73 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3518056 58 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3518072 119 VLLM::Worker ffffffffffffff00000000000000ffffffffffffff
3516627 3518073 112 VLLM::Worker ffffffffffffff00000000000000ffffffffffffff
3516627 3518231 98 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3518251 187 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3518270 73 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3518291 98 VLLM::Worker ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3518474 179 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3519240 91 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3519245 71 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
3516627 3519799 163 VLLM::Worker_TP ffffffffffffff00000000000000ffffffffffffff
3516627 3519800 145 VLLM::Worker_TP ffffffffffffff00000000000000ffffffffffffff
3516627 3520071 96 VLLM::Worker_TP ffffffffffffffffffffffffffffffffffffffffffffffffffffffff
