core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core110,core111,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,sys_cpu_pct,t_s,w_3389999,w_3389999_cpu,w_3390000,w_3390000_cpu,w_3390001,w_3390001_cpu,w_3390002,w_3390002_cpu,w_3390003,w_3390003_cpu,w_3390004,w_3390004_cpu,w_3390005,w_3390005_cpu,w_3390006,w_3390006_cpu,w_3390007,w_3390007_cpu,w_3390008,w_3390008_cpu,w_3390009,w_3390009_cpu,w_3390011,w_3390011_cpu,w_3390012,w_3390012_cpu,w_3390013,w_3390013_cpu,w_3390014,w_3390014_cpu,w_3390015,w_3390015_cpu,w_3390016,w_3390016_cpu,w_3390017,w_3390017_cpu,w_3390018,w_3390018_cpu,w_3390019,w_3390019_cpu,w_3390020,w_3390020_cpu,w_3390021,w_3390021_cpu,w_3390022,w_3390022_cpu,w_3390023,w_3390023_cpu,w_3390024,w_3390024_cpu,w_3390025,w_3390025_cpu,w_3390026,w_3390026_cpu,w_3390027,w_3390027_cpu,w_3390028,w_3390028_cpu,w_3390029,w_3390029_cpu,w_3390030,w_3390030_cpu,w_3390031,w_3390031_cpu
88.8,89.0,88.8,88.8,89.0,88.8,88.8,88.7,88.7,88.8,88.6,88.6,89.5,89.5,89.4,89.3,89.3,89.3,89.3,89.2,89.2,89.4,89.1,89.1,89.1,89.1,89.0,89.1,89.1,89.0,89.0,88.9,15.2,0.5,98.3,80,100.2,81,96.3,82,98.3,83,98.3,84,98.3,85,98.3,86,100.3,87,100.3,88,98.3,89,98.3,90,100.3,91,100.3,92,100.3,93,100.3,94,98.3,95,98.3,96,98.4,97,100.3,98,100.3,99,100.3,100,98.4,101,100.3,102,98.4,103,100.4,104,100.4,105,100.4,106,100.4,107,98.4,108,98.4,109,98.4,110,100.4,111
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.2,1.007,100.6,80,98.6,81,100.6,82,100.6,83,98.6,84,102.5,85,100.6,86,100.6,87,98.6,88,98.6,89,100.6,90,98.6,91,100.6,92,98.6,93,98.6,94,100.6,95,100.6,96,98.6,97,98.6,98,98.6,99,98.6,100,98.6,101,100.6,102,100.6,103,98.6,104,100.6,105,98.6,106,98.6,107,98.6,108,100.6,109,100.6,110,98.6,111
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.2,1.514,98.6,80,98.6,81,100.6,82,100.6,83,100.6,84,96.6,85,96.6,86,98.6,87,98.6,88,100.6,89,100.6,90,98.6,91,98.6,92,98.6,93,100.6,94,100.6,95,98.6,96,102.6,97,98.6,98,100.6,99,100.6,100,100.6,101,98.6,102,98.6,103,100.6,104,98.6,105,98.6,106,98.6,107,100.6,108,98.6,109,98.6,110,100.6,111
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.3,2.021,100.6,80,98.6,81,98.6,82,98.6,83,100.6,84,100.6,85,100.6,86,100.6,87,100.6,88,98.6,89,96.6,90,98.6,91,98.6,92,100.6,93,100.6,94,98.6,95,96.6,96,98.6,97,98.6,98,98.6,99,98.6,100,98.6,101,98.6,102,100.6,103,98.6,104,98.6,105,100.6,106,100.6,107,100.6,108,98.6,109,100.6,110,100.6,111
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.9,2.528,98.6,80,100.6,81,98.6,82,98.6,83,98.6,84,98.6,85,98.6,86,98.6,87,98.6,88,100.6,89,100.6,90,100.6,91,100.6,92,98.6,93,98.6,94,98.6,95,102.5,96,98.6,97,100.6,98,100.6,99,100.6,100,100.6,101,100.6,102,98.6,103,100.6,104,100.6,105,98.6,106,100.6,107,98.6,108,98.6,109,98.6,110,96.6,111
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.5,3.035,100.6,80,98.6,81,100.6,82,100.6,83,98.6,84,100.6,85,100.6,86,98.6,87,98.6,88,98.6,89,98.6,90,98.6,91,98.6,92,98.6,93,98.6,94,100.6,95,98.6,96,100.6,97,98.6,98,96.6,99,98.6,100,100.6,101,98.6,102,100.6,103,100.6,104,98.6,105,100.6,106,98.6,107,100.6,108,100.6,109,98.6,110,100.6,111
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.1,3.543,98.6,80,100.6,81,98.6,82,100.6,83,100.6,84,98.6,85,100.6,86,100.6,87,100.6,88,100.6,89,100.6,90,100.6,91,98.6,92,100.6,93,100.6,94,98.6,95,98.6,96,96.6,97,100.6,98,100.6,99,98.6,100,98.6,101,100.6,102,98.6,103,96.6,104,98.6,105,98.6,106,98.6,107,98.6,108,98.6,109,98.6,110,100.6,111
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.5,4.05,98.9,80,98.9,81,100.9,82,97.0,83,98.9,84,98.9,85,97.0,86,99.0,87,99.0,88,99.0,89,99.0,90,99.0,91,100.9,92,101.0,93,99.0,94,101.0,95,99.0,96,102.9,97,99.0,98,99.0,99,99.0,100,99.0,101,97.0,102,99.0,103,101.0,104,99.0,105,99.0,106,99.0,107,99.0,108,101.0,109,101.0,110,99.0,111
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.6,4.554,99.2,80,99.2,81,99.2,82,99.2,83,99.2,84,101.2,85,101.2,86,99.2,87,101.2,88,99.2,89,99.2,90,99.2,91,99.2,92,97.2,93,99.2,94,97.2,95,101.2,96,97.2,97,99.2,98,101.2,99,101.2,100,99.2,101,101.2,102,99.2,103,99.2,104,99.2,105,101.2,106,101.2,107,101.2,108,99.2,109,99.2,110,99.2,111
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.7,5.058,99.3,80,99.3,81,99.3,82,101.3,83,99.3,84,99.3,85,99.3,86,99.3,87,99.3,88,99.3,89,99.3,90,101.3,91,99.3,92,99.3,93,99.3,94,99.3,95,99.3,96,99.3,97,99.3,98,97.3,99,97.3,100,99.3,101,99.3,102,99.3,103,99.3,104,99.3,105,97.3,106,99.3,107,97.3,108,99.3,109,99.3,110,99.3,111
