
NOTICE: Existing SQLite export found: /workspace/vllm_hybrid/eval/results/20260516_163313_v16_timeline_nsys/v16_timeline.sqlite
        It is assumed file was previously exported from: /workspace/vllm_hybrid/eval/results/20260516_163313_v16_timeline_nsys/v16_timeline.nsys-rep
        Consider using --force-export=true if needed.

Processing [/workspace/vllm_hybrid/eval/results/20260516_163313_v16_timeline_nsys/v16_timeline.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

+----------+-----------------+-----------+---------------+---------------+-------------+-------------+--------------+------------------------+
| Time (%) | Total Time (ns) | Num Calls |   Avg (ns)    |   Med (ns)    |  Min (ns)   |  Max (ns)   | StdDev (ns)  |          Name          |
+----------+-----------------+-----------+---------------+---------------+-------------+-------------+--------------+------------------------+
|     30.2 |   1991860175815 |     33638 |    59214584.0 |   100058197.0 |        1034 | 26585575031 |  172553652.1 | pthread_cond_timedwait |
|     27.5 |   1812517250924 |     35861 |    50542853.0 |    10060832.0 |        1000 |  3463354240 |  133902588.1 | poll                   |
|     25.7 |   1696536526228 |    146274 |    11598346.4 |    10061846.0 |        1165 |   769176980 |   28974004.2 | epoll_wait             |
|      6.8 |    450005671519 |        45 | 10000126033.8 | 10000128020.0 | 10000094809 | 10000144842 |      10893.9 | sem_clockwait          |
|      4.7 |    309479102202 |      3009 |   102851147.3 |       61027.0 |        1807 | 27222701645 | 1413925933.0 | ioctl                  |
|      3.0 |    199480131219 |     40921 |     4874761.9 |     4137462.0 |      112804 |   767058514 |   27518732.6 | sem_wait               |
|      1.6 |    103636598935 |      1938 |    53476057.2 |        5531.5 |        1010 | 25886252548 | 1172396402.4 | recv                   |
|      0.5 |     30653018766 |       180 |   170294548.7 |   108634995.0 |        1131 |   686157700 |  231765239.7 | epoll_pwait            |
|      0.0 |       371432103 |     89621 |        4144.5 |        3749.0 |        2597 |      338925 |       2715.3 | mmap64                 |
|      0.0 |       226766688 |     89688 |        2528.4 |        2002.0 |        1334 |      390698 |       2962.0 | munmap                 |
|      0.0 |        64185756 |     23021 |        2788.1 |        2358.0 |        1001 |       17677 |       1449.4 | lstat64                |
|      0.0 |        60994611 |     19373 |        3148.4 |        1561.0 |        1000 |      298952 |       5896.9 | pthread_cond_signal    |
|      0.0 |        33390617 |        80 |      417382.7 |      438504.5 |      267050 |      547235 |      62414.1 | pthread_create         |
|      0.0 |        30756099 |      1962 |       15675.9 |        9406.0 |        2068 |       71438 |      14124.9 | send                   |
|      0.0 |        27860882 |      6144 |        4534.6 |        3725.0 |        1526 |      298789 |       4722.8 | stat64                 |
|      0.0 |        18494799 |        48 |      385308.3 |       80766.5 |        9695 |     1330391 |     477857.5 | pthread_rwlock_wrlock  |
|      0.0 |        15596699 |       525 |       29708.0 |       19070.0 |        1043 |      547795 |      61792.3 | pthread_mutex_lock     |
|      0.0 |        15292022 |      2548 |        6001.6 |        2054.5 |        1000 |      256145 |      21113.7 | read                   |
|      0.0 |        13559996 |      1432 |        9469.3 |        5480.5 |        1000 |       85369 |      11978.6 | write                  |
|      0.0 |         5174286 |       584 |        8860.1 |        7482.5 |        2843 |       70156 |       5601.4 | open64                 |
|      0.0 |         4856042 |       253 |       19193.8 |       17506.0 |        6019 |       49475 |       7393.5 | mmap                   |
|      0.0 |         1093616 |        24 |       45567.3 |       30328.0 |       23994 |       84738 |      22358.0 | connect                |
|      0.0 |         1021970 |        31 |       32966.8 |       35003.0 |       14434 |       81593 |      14584.8 | pthread_rwlock_rdlock  |
|      0.0 |          794684 |       479 |        1659.0 |        1412.0 |        1000 |       12851 |       1045.9 | fstat64                |
|      0.0 |          789971 |       501 |        1576.8 |        1396.0 |        1002 |       12381 |        991.4 | epoll_ctl              |
|      0.0 |          547864 |        32 |       17120.8 |       13734.0 |        1175 |       55294 |      10757.3 | shutdown               |
|      0.0 |          527176 |       155 |        3401.1 |        2174.0 |        1017 |       31519 |       3603.3 | pthread_cond_broadcast |
|      0.0 |          337857 |        40 |        8446.4 |        6682.0 |        5973 |       40539 |       5708.2 | fopen                  |
|      0.0 |          285568 |        24 |       11898.7 |       11965.5 |        6329 |       21165 |       4023.8 | accept                 |
|      0.0 |          215182 |        40 |        5379.6 |        4372.5 |        3428 |       39687 |       5603.9 | fread                  |
|      0.0 |          181421 |        25 |        7256.8 |        5316.0 |        3213 |       14831 |       4128.8 | socket                 |
|      0.0 |          114162 |        40 |        2854.1 |        2218.0 |        2050 |       16690 |       2311.9 | fclose                 |
|      0.0 |           65898 |         2 |       32949.0 |       32949.0 |       18286 |       47612 |      20736.6 | pthread_cond_wait      |
|      0.0 |           12123 |        10 |        1212.3 |        1225.5 |        1017 |        1316 |         97.8 | fcntl                  |
+----------+-----------------+-----------+---------------+---------------+-------------+-------------+--------------+------------------------+

