name,model,status,gpu_util,tps_r1,tps_r2,best_tps,token_match,max_logprob_diff,ppl_rel,gate
awq,/raid/hf_cache/awq_nvfp4_70b,OK,100,2213.4,2217.2,2217.2,23.6,0.3058,0.1789,FAIL
awq_spec,/raid/hf_cache/awq_nvfp4_70b,OK,88,4195.4,4185.0,4195.4,7.8,0.5122,0.2098,FAIL
