name,model,status,gpu_util,tps_r1,tps_r2,best_tps,token_match,max_logprob_diff,ppl_rel,gate
gptq,/raid/hf_cache/gptq_nvfp4_70b,OK,99,2246.9,2247.4,2247.4,27.9,0.6197,0.1102,FAIL
gptq_spec,/raid/hf_cache/gptq_nvfp4_70b,OK,87,4069.0,4022.2,4069.0,54.5,0.5137,0.0933,FAIL
