name,model,status,gpu_util,tps_r1,tps_r2,best_tps,token_match,max_logprob_diff,ppl_rel,gate
awqgptq,/raid/hf_cache/awqgptq_nvfp4_70b,OK,99,2183.1,2208.0,2208.0,16.6,0.4909,0.0975,PASS
awqgptq_spec,/raid/hf_cache/awqgptq_nvfp4_70b,OK,90,4300.9,4201.6,4300.9,31.2,0.4909,0.0667,PASS
