timestamp,cpu_util_pct,mem_used_gb,mem_total_gb
2026-05-27T07:06:01.292087+00:00,2.0,89.28,2014.83
2026-05-27T07:06:01.976094+00:00,1.3,89.48,2014.83
2026-05-27T07:06:02.654134+00:00,1.7,89.53,2014.83
2026-05-27T07:06:03.314721+00:00,3.1,89.61,2014.83
2026-05-27T07:06:03.975032+00:00,1.5,89.72,2014.83
2026-05-27T07:06:04.779670+00:00,1.4,89.71,2014.83
2026-05-27T07:06:05.440192+00:00,2.1,89.71,2014.83
2026-05-27T07:06:06.106904+00:00,2.9,89.77,2014.83
2026-05-27T07:06:06.784745+00:00,1.8,89.85,2014.83
2026-05-27T07:06:07.455998+00:00,1.6,89.94,2014.83
2026-05-27T07:06:08.142399+00:00,4.2,90.03,2014.83
2026-05-27T07:06:08.801421+00:00,1.7,90.34,2014.83
2026-05-27T07:06:09.460387+00:00,2.5,90.43,2014.83
2026-05-27T07:06:10.119735+00:00,1.8,90.43,2014.83
2026-05-27T07:06:10.790538+00:00,1.6,90.39,2014.83
2026-05-27T07:06:11.588120+00:00,1.0,90.36,2014.83
2026-05-27T07:06:13.193705+00:00,3.3,90.47,2014.83
2026-05-27T07:06:13.967973+00:00,2.5,90.55,2014.83
2026-05-27T07:06:14.645280+00:00,1.8,90.82,2014.83
2026-05-27T07:06:15.308399+00:00,3.4,91.13,2014.83
2026-05-27T07:06:15.981911+00:00,1.6,91.23,2014.83
2026-05-27T07:06:16.668200+00:00,1.7,91.33,2014.83
2026-05-27T07:06:17.330451+00:00,1.8,91.39,2014.83
2026-05-27T07:06:18.003788+00:00,1.8,91.42,2014.83
2026-05-27T07:06:18.668591+00:00,3.2,91.44,2014.83
2026-05-27T07:06:19.317630+00:00,1.9,91.45,2014.83
2026-05-27T07:06:20.004986+00:00,1.9,91.48,2014.83
2026-05-27T07:06:20.749367+00:00,2.9,91.54,2014.83
2026-05-27T07:06:21.448982+00:00,1.8,91.59,2014.83
2026-05-27T07:06:22.177381+00:00,2.3,92.10,2014.83
2026-05-27T07:06:22.838909+00:00,6.8,93.29,2014.83
2026-05-27T07:06:23.501778+00:00,4.2,93.68,2014.83
2026-05-27T07:06:24.178498+00:00,4.7,94.11,2014.83
2026-05-27T07:06:24.841502+00:00,4.1,94.36,2014.83
2026-05-27T07:06:26.368031+00:00,1.4,94.47,2014.83
2026-05-27T07:06:27.650287+00:00,4.1,94.55,2014.83
2026-05-27T07:06:28.312800+00:00,7.4,94.57,2014.83
2026-05-27T07:06:28.976351+00:00,7.6,94.86,2014.83
2026-05-27T07:06:29.662317+00:00,4.9,95.08,2014.83
2026-05-27T07:06:30.352253+00:00,4.8,95.38,2014.83
2026-05-27T07:06:31.031328+00:00,2.2,95.48,2014.83
2026-05-27T07:06:31.739910+00:00,7.0,95.72,2014.83
2026-05-27T07:06:32.403711+00:00,5.2,95.97,2014.83
2026-05-27T07:06:33.068292+00:00,5.8,96.12,2014.83
2026-05-27T07:06:33.765240+00:00,1.5,96.18,2014.83
2026-05-27T07:06:35.813712+00:00,5.3,96.41,2014.83
2026-05-27T07:06:36.882716+00:00,4.2,97.11,2014.83
2026-05-27T07:06:37.835610+00:00,3.3,99.73,2014.83
2026-05-27T07:06:38.755815+00:00,3.2,100.04,2014.83
2026-05-27T07:06:39.596629+00:00,4.3,100.23,2014.83
2026-05-27T07:06:40.438857+00:00,4.9,100.57,2014.83
2026-05-27T07:06:41.089439+00:00,4.6,101.83,2014.83
2026-05-27T07:06:41.861192+00:00,5.9,102.16,2014.83
2026-05-27T07:06:42.565149+00:00,8.8,102.64,2014.83
2026-05-27T07:06:43.274245+00:00,10.5,102.79,2014.83
2026-05-27T07:06:43.979415+00:00,8.8,102.80,2014.83
2026-05-27T07:06:44.669345+00:00,8.7,102.68,2014.83
2026-05-27T07:06:45.374331+00:00,9.8,102.86,2014.83
2026-05-27T07:06:46.088152+00:00,9.7,102.89,2014.83
2026-05-27T07:06:46.767356+00:00,7.0,102.82,2014.83
2026-05-27T07:06:47.465679+00:00,3.2,102.58,2014.83
2026-05-27T07:06:48.170122+00:00,6.7,102.72,2014.83
2026-05-27T07:06:48.842415+00:00,4.5,102.75,2014.83
2026-05-27T07:06:49.531940+00:00,5.6,102.79,2014.83
2026-05-27T07:06:50.230767+00:00,5.3,102.83,2014.83
2026-05-27T07:06:50.913855+00:00,7.1,102.84,2014.83
2026-05-27T07:06:51.588248+00:00,4.5,102.94,2014.83
2026-05-27T07:06:52.281661+00:00,4.0,103.00,2014.83
2026-05-27T07:06:52.976829+00:00,4.7,103.16,2014.83
2026-05-27T07:06:53.668197+00:00,3.6,103.20,2014.83
2026-05-27T07:06:54.595912+00:00,3.4,103.70,2014.83
2026-05-27T07:06:55.303437+00:00,5.3,103.82,2014.83
2026-05-27T07:06:55.985440+00:00,5.5,104.11,2014.83
2026-05-27T07:06:56.666430+00:00,4.5,104.07,2014.83
2026-05-27T07:06:57.349251+00:00,4.6,103.97,2014.83
2026-05-27T07:06:58.041818+00:00,6.0,103.94,2014.83
2026-05-27T07:06:58.757983+00:00,35.5,103.93,2014.83
2026-05-27T07:06:59.441829+00:00,4.8,103.92,2014.83
2026-05-27T07:07:00.123060+00:00,4.7,103.93,2014.83
2026-05-27T07:07:00.830907+00:00,4.2,103.91,2014.83
2026-05-27T07:07:01.523700+00:00,4.2,103.93,2014.83
2026-05-27T07:07:02.219845+00:00,3.9,104.00,2014.83
2026-05-27T07:07:02.929210+00:00,4.2,104.01,2014.83
2026-05-27T07:07:03.624740+00:00,5.9,104.00,2014.83
2026-05-27T07:07:04.309179+00:00,5.0,104.33,2014.83
2026-05-27T07:07:05.038051+00:00,4.7,104.70,2014.83
2026-05-27T07:07:05.734681+00:00,5.5,104.70,2014.83
2026-05-27T07:07:06.435468+00:00,4.7,105.11,2014.83
2026-05-27T07:07:07.129493+00:00,5.3,105.42,2014.83
2026-05-27T07:07:07.903397+00:00,4.2,105.57,2014.83
2026-05-27T07:07:08.695730+00:00,4.6,105.66,2014.83
2026-05-27T07:07:09.446907+00:00,4.3,105.95,2014.83
2026-05-27T07:07:10.295075+00:00,4.3,106.28,2014.83
2026-05-27T07:07:11.122332+00:00,5.1,106.49,2014.83
2026-05-27T07:07:11.911387+00:00,4.1,106.83,2014.83
2026-05-27T07:07:12.721563+00:00,4.3,107.15,2014.83
2026-05-27T07:07:13.568393+00:00,5.5,107.50,2014.83
2026-05-27T07:07:14.354116+00:00,4.6,107.76,2014.83
2026-05-27T07:07:15.156622+00:00,5.0,108.11,2014.83
2026-05-27T07:07:15.960496+00:00,3.0,108.43,2014.83
2026-05-27T07:07:16.787362+00:00,2.5,108.54,2014.83
2026-05-27T07:07:17.576859+00:00,2.6,108.61,2014.83
2026-05-27T07:07:18.382806+00:00,4.9,108.68,2014.83
2026-05-27T07:07:19.173826+00:00,2.4,108.68,2014.83
2026-05-27T07:07:19.973855+00:00,3.2,108.71,2014.83
2026-05-27T07:07:20.750771+00:00,2.8,108.69,2014.83
2026-05-27T07:07:21.515327+00:00,1.1,108.76,2014.83
2026-05-27T07:07:22.295523+00:00,0.4,108.77,2014.83
2026-05-27T07:07:23.105760+00:00,2.3,108.81,2014.83
2026-05-27T07:07:23.912978+00:00,1.3,108.82,2014.83
2026-05-27T07:07:24.715248+00:00,0.7,108.90,2014.83
2026-05-27T07:07:25.508913+00:00,0.7,108.89,2014.83
2026-05-27T07:07:26.273792+00:00,1.5,108.84,2014.83
2026-05-27T07:07:27.053610+00:00,0.5,108.83,2014.83
2026-05-27T07:07:27.833902+00:00,0.4,108.81,2014.83
2026-05-27T07:07:28.646562+00:00,1.6,108.81,2014.83
2026-05-27T07:07:29.437981+00:00,0.7,108.82,2014.83
2026-05-27T07:07:30.228704+00:00,1.1,108.81,2014.83
2026-05-27T07:07:31.009230+00:00,0.5,108.80,2014.83
2026-05-27T07:07:31.818418+00:00,3.8,109.36,2014.83
2026-05-27T07:07:32.656615+00:00,3.4,109.35,2014.83
2026-05-27T07:07:33.501545+00:00,5.3,109.34,2014.83
