name,env,gpu_util,prefill_tps_r1,prefill_tps_r2,best
symm512,VLLM_SYMM_MEM_MAX_SIZE_MB=512,92,14.507,14.4851,14.507
symm1024,VLLM_SYMM_MEM_MAX_SIZE_MB=1024,99,14.507,14.507,14.507
