name,parallel,gpu_util,gen_tps_r1,gen_tps_r2,best_tps
tp8,--tensor-parallel-size 8,88,5392.8,5337.2,5392.8
dp8,--data-parallel-size 8 --tensor-parallel-size 1,90,15153.8,15196.0,15196.0
