name,env,gpu_util,prefill_tps_r1,prefill_tps_r2,best
baseline,VLLM_X=0,92,15.822,15.809,15.822
nccl_symm,VLLM_USE_NCCL_SYMM_MEM=1,91,16.3892,16.2988,16.3892
