worker=0 K=5120 N=27648 B=128 dtype=bf16
  t=5.0s iters=99 tflops=0.72
  t=10.1s iters=189 tflops=0.68
  t=15.1s iters=278 tflops=0.67
  t=20.1s iters=372 tflops=0.67
  t=25.1s iters=467 tflops=0.67
  t=30.1s iters=563 tflops=0.68
  t=35.2s iters=660 tflops=0.68
  t=40.2s iters=752 tflops=0.68
  t=45.2s iters=836 tflops=0.67
